LEA Code,LEA Name,School Code,School Name,Total,PK3,PK4,Kindergarten ,1,2,3,4,5,6,7,8,9,10,11,12,Alternative Education,Adult Education ,SPED Level 1,SPED Level 2,SPED Level 3,SPED Level 4,ELL,At Risk ,SPED School 
115,DC Prep PCS,196,DC Prep PCS Ãê Edgewood Middle,294,0,0,0,0,0,0,75,70,68,49,32,0,0,0,0,0,0,7,12,19,8,1,101,0
179,Democracy Prep Congress Heights PCS,234,Democracy Prep Congress Heights PCS,620,51,51,101,58,103,89,59,55,53,0,0,0,0,0,0,0,0,42,14,7,7,1,436,0
129,KIPP DC PCS,237,KIPP DC Ãê Quest Academy PCS,282,0,0,0,74,69,53,48,38,0,0,0,0,0,0,0,0,0,18,15,3,7,1,176,0
129,KIPP DC PCS,242,KIPP DC Ãê Northeast Academy PCS,126,0,0,0,0,0,0,0,54,72,0,0,0,0,0,0,0,0,2,17,1,2,1,70,0
120,Friendship PCS,362,Friendship PCS Ãê Blow-Pierce Middle,213,0,0,0,0,0,0,42,25,43,40,63,0,0,0,0,0,0,9,20,3,10,1,147,0
120,Friendship PCS,363,Friendship PCS Ãê Chamberlain Elementary,375,34,68,63,62,73,75,0,0,0,0,0,0,0,0,0,0,0,10,7,0,1,1,235,0
120,Friendship PCS,1124,Friendship PCS Ãê Technology Preparatory Academy,499,0,0,0,0,0,0,0,0,115,111,76,60,52,55,30,0,0,21,57,11,1,1,353,0
120,Friendship PCS,366,Friendship PCS Ãê Woodridge Middle,168,0,0,0,0,0,0,33,37,30,35,33,0,0,0,0,0,0,4,18,8,5,1,75,0
129,KIPP DC PCS,189,KIPP DC Ãê KEY Academy PCS,334,0,0,0,0,0,1,0,91,89,80,73,0,0,0,0,0,0,11,9,15,2,1,161,0
126,IDEA PCS,163,IDEA PCS,217,0,0,0,0,0,0,0,0,0,0,0,70,52,53,42,0,0,7,19,12,4,1,165,0
129,KIPP DC PCS,236,KIPP DC Ãê Arts & Technology Academy PCS,212,61,77,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,1,1,129,0
147,Tree of Life PCS,183,Tree of Life PCS,286,27,46,38,35,31,24,23,22,13,15,12,0,0,0,0,0,0,14,6,4,1,2,185,0
117,Eagle Academy PCS,195,Eagle Academy PCS Ãê The Eagle Center at McGogney,774,165,152,142,129,111,75,0,0,0,0,0,0,0,0,0,0,0,40,20,5,18,2,466,0
129,KIPP DC PCS,209,KIPP DC Ãê Connect Academy PCS,301,100,101,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4,0,0,2,159,0
103,AppleTree Early Learning PCS,3073,AppleTree Early Learning PCS Ãê Lincoln Park,60,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,5,0
140,Roots PCS,173,Roots PCS,95,17,19,15,12,9,5,9,9,0,0,0,0,0,0,0,0,0,6,1,0,0,2,39,0
127,Ideal Academy PCS,134,Ideal Academy PCS,297,27,39,33,32,36,25,25,25,15,16,24,0,0,0,0,0,0,19,12,1,0,3,185,0
152,Washington Mathematics Science Technology PCHS,178,Washington Mathematics Science Technology PCHS,335,0,0,0,0,0,0,0,0,0,0,0,98,74,87,76,0,0,24,36,9,3,3,222,0
129,KIPP DC PCS,1129,KIPP DC Ãê Grow Academy PCS,312,104,107,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,1,3,140,0
151,Washington Latin PCS,125,Washington Latin PCS Ãê Middle School,366,0,0,0,0,0,0,0,90,91,90,95,0,0,0,0,0,0,21,5,1,2,3,16,0
129,KIPP DC PCS,121,KIPP DC Ãê WILL Academy PCS,344,0,0,0,0,0,0,50,71,73,79,71,0,0,0,0,0,0,13,33,12,8,3,138,0
103,AppleTree Early Learning PCS,1137,AppleTree Early Learning PCS Ãê Oklahoma Ave,161,80,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,80,0
129,KIPP DC PCS,1121,KIPP DC Ãê Promise Academy PCS,400,0,0,0,103,100,106,91,0,0,0,0,0,0,0,0,0,0,23,12,14,6,3,219,0
156,Center City PCS,1108,Center City PCS Ãê Trinidad,236,0,20,21,18,23,24,25,26,27,27,25,0,0,0,0,0,0,13,10,3,0,4,132,0
129,KIPP DC PCS,190,KIPP DC Ãê Lead Academy PCS,302,0,0,0,106,105,91,0,0,0,0,0,0,0,0,0,0,0,7,15,5,0,4,127,0
103,AppleTree Early Learning PCS,141,AppleTree Early Learning PCS Ãê Southwest,86,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,41,0
151,Washington Latin PCS,1118,Washington Latin PCS Ãê Upper School,304,0,0,0,0,0,0,0,0,0,0,0,86,86,68,64,0,0,23,7,0,1,6,70,0
120,Friendship PCS,361,Friendship PCS Ãê Blow-Pierce Elementary,379,57,66,77,69,68,42,0,0,0,0,0,0,0,0,0,0,0,10,3,0,1,6,289,0
131,YouthBuild PCS,128,YouthBuild PCS,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,3,5,2,0,7,0,0
109,CÅ_sar Châ€¡vez PCS for Public Policy,109,CÅ_sar Châ€¡vez PCS for Public Policy Ãê Parkside High School,356,0,0,0,0,0,0,0,0,0,0,0,115,95,76,70,0,0,5,25,7,3,7,228,0
132,Mary McLeod Bethune Day Academy PCS,135,Mary McLeod Bethune Day Academy PCS,381,46,47,31,47,35,28,38,35,29,21,24,0,0,0,0,0,0,2,29,3,1,8,237,0
109,CÅ_sar Châ€¡vez PCS for Public Policy,102,CÅ_sar Châ€¡vez PCS for Public Policy Ãê Parkside Middle School,303,0,0,0,0,0,0,0,0,103,101,99,0,0,0,0,0,0,19,19,3,1,8,204,0
115,DC Prep PCS,1110,DC Prep PCS Ãê Benning Elementary,442,82,72,75,72,73,68,0,0,0,0,0,0,0,0,0,0,0,9,10,1,2,8,231,0
120,Friendship PCS,365,Friendship PCS Ãê Woodridge Elementary,284,47,46,47,50,53,41,0,0,0,0,0,0,0,0,0,0,0,8,3,1,0,8,127,0
174,Sela PCS,197,Sela PCS,86,0,26,34,15,11,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,2,8,24,0
125,Perry Street Preparatory PCS,161,Perry Street Preparatory PCS,619,25,38,36,38,33,33,33,33,25,49,56,39,47,50,84,0,0,22,56,6,9,10,343,0
169,Creative Minds International PCS,3069,Creative Minds International PCS,181,34,34,34,34,17,14,14,0,0,0,0,0,0,0,0,0,0,28,6,2,12,10,22,0
124,Howard University Middle School of Mathematics and Science PCS,115,Howard University Middle School of Mathematics and Science PCS,294,0,0,0,0,0,0,0,0,84,108,102,0,0,0,0,0,0,5,2,2,0,11,115,0
166,Shining Stars Montessori Academy PCS,3066,Shining Stars Montessori Academy PCS,118,78,23,9,2,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,20,0
153,"William E. Doar, Jr. PCS for the Performing Arts",210,"William E. Doar, Jr. PCS for the Performing Arts",439,38,56,50,60,39,47,43,26,37,18,25,0,0,0,0,0,0,14,13,5,3,13,223,0
121,Hope Community PCS,131,Hope Community PCS Ãê Lamond,358,71,62,59,40,46,39,26,15,0,0,0,0,0,0,0,0,0,7,10,3,2,13,148,0
165,Inspired Teaching Demonstration PCS,3064,Inspired Teaching Demonstration PCS,317,44,46,45,45,49,28,28,19,13,0,0,0,0,0,0,0,0,21,4,3,6,14,35,0
149,Two Rivers PCS,198,Two Rivers PCS,518,36,45,50,50,50,50,50,50,48,48,41,0,0,0,0,0,0,49,30,20,8,20,126,0
143,St. Coletta Special Education PCS,1047,St. Coletta Special Education PCS,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,250,20,111,252
115,DC Prep PCS,130,DC Prep PCS Ãê Edgewood Elementary,432,79,73,72,70,70,68,0,0,0,0,0,0,0,0,0,0,0,19,7,1,1,20,197,0
