"SchoolCode","School","Address","maxOccupancy","totalSQFT","Latitude","Longitude","Ward","Feeder","Level","TotalExp9815","TotalAllot1621","LifetimeBudget","Agency","Total.Enrolled","Limited.English.Proficient","Level.1","Level.2","Level.3","Level.4","At_Risk","SPED","AtRiskPer","SPEDPer","SqFtPerEnroll","LTBudgetPerEnroll","LTBudgetPerSqFt","ESLPer"
"413","Hart Middle School","601 Mississippi Ave  SE",912,149164,"38.837737537","-76.997178747","8","7","Elementary",13075759,0,13214760,"DCPS","479","0","17","25","61","39","393",142,0.820459290187891,0.296450939457203,311.407098121086,27588.2254697286,88.592153602746,0
"249","Hendley Elementary School","425 Chesapeake St  SE",520,66329,"38.82898558","-76.999184846","8","1","Mixed",15937127,0,16150915,"DCPS","503","0","37","23","1","3","453",64,0.900596421471173,0.127236580516899,131.866799204771,32109.1749502982,243.497037494912,0
"251","Houston Elementary School","1100 50th Pl  NE",398,48544,"38.905414986","-76.929947647","7","2","Mixed",1191032,15693000,16943000,"DCPS","279","3","13","12","3","13","209",41,0.74910394265233,0.146953405017921,173.992831541219,60727.5985663082,349.023566249176,0.010752688172043
"252","Hyde-Addison Elementary School","3219 O St  NW",330,19386,"38.908019234","-77.064537819","2","5","Mixed",19157333,22284976,43519223,"DCPS","305","29","12","6","1","3","24",22,0.0786885245901639,0.0721311475409836,63.5606557377049,142685.97704918,2244.8789332508,0.0950819672131148
"254","Janney Elementary School","4130 Albemarle St  NW",700,71785,"38.947550086","-77.080994825","3","5","Mixed",37443325,0,37949758,"DCPS","693","30","35","1","1","3","8",40,0.0115440115440115,0.0577200577200577,103.585858585859,54761.5555555556,528.658605558264,0.0432900432900433
"421","Kelly Miller Middle School","301 49th St  NE",600,120265,"38.893315031","-76.932455065","7","7","Elementary",10614880,0,10614880,"DCPS","546","7","27","57","5","24","382",113,0.6996336996337,0.206959706959707,220.265567765568,19441.1721611722,88.2624204880888,0.0128205128205128
"257","Ketcham Elementary School","1919 15th St  SE",325,92343,"38.86604236","-76.983621162","8","3","Mixed",8328691,0,8336451,"DCPS","309","0","26","4","3","0","265",33,0.857605177993528,0.106796116504854,298.844660194175,26978.8058252427,90.2770215392612,0
"272","Key Elementary School","5001 Dana Pl  NW",364,63290,"38.926801504","-77.100527318","3","2","Mixed",13007488,0,13007488,"DCPS","383","28","16","5","1","0","12",22,0.031331592689295,0.0574412532637076,165.248041775457,33962.1096605744,205.522009796176,0.0731070496083551
"259","Kimball Elementary School","3375 Minnesota Ave  SE",398,72274,"38.883082756","-76.957572707","7","3","Mixed",0,17696000,17696000,"DCPS","348","0","24","10","4","1","268",39,0.770114942528736,0.112068965517241,207.683908045977,50850.5747126437,244.846002711902,0
"417","Kramer Middle School","1700 Q St  SE",600,131865,"38.87128607","-76.980171305","8","7","Elementary",30951777,0,35059047,"DCPS","333","0","13","47","3","7","267",70,0.801801801801802,0.21021021021021,395.990990990991,105282.423423423,265.870754180412,0
"261","Lafayette Elementary School","5701 Broad Branch Rd  NW",516,106574,"38.96662722","-77.068037122","4","4","Mixed",9939007,59373105,78650000,"DCPS","697","21","28","9","1","2","19",40,0.0272596843615495,0.0573888091822095,152.90387374462,112840.746054519,737.9848743596,0.03012912482066
"262","Langdon Education Campus","1900 Evarts St  NE",500,117308,"38.924703828","-76.977081855","5","6","Mixed",19828246,0,20824380,"DCPS","340","17","23","15","3","0","191",41,0.561764705882353,0.120588235294118,345.023529411765,61248.1764705882,177.518839294848,0.05
"370","Langley Education Campus","101 T Street NE",530,93680,NA,NA,NA,NA,"Mixed",10253618,0,10273670,"DCPS","289","7","17","5","1","38","186",61,0.643598615916955,0.211072664359862,324.152249134948,35549.0311418685,109.667698548249,0.0242214532871972
"271","Ludlow-Taylor Elementary School","659 G St  NE",362,58639,"38.898743808","-76.996492494","6","1","Mixed",11489803,-1026290,11762825,"DCPS","340","3","22","2","5","27","109",56,0.320588235294118,0.164705882352941,172.467647058824,34596.5441176471,200.597298726104,0.00882352941176471
"273","Mann Elementary School","4430 Newark St NW",370,22314,"38.934291971","-77.087826194","3","5","Mixed",34565362,-5e+05,37197238,"DCPS","302","34","10","1","0","2","4",13,0.0132450331125828,0.043046357615894,73.887417218543,123169.662251656,1666.99103701712,0.112582781456954
