"SchoolCode","School","Address","maxOccupancy","totalSQFT","Latitude","Longitude","Ward","Feeder","Level","TotalExp9815","TotalAllot1621","LifetimeBudget","Agency","Total.Enrolled","Limited.English.Proficient","Level.1","Level.2","Level.3","Level.4","At_Risk","SPED","AtRiskPer","SPEDPer","SqFtPerEnroll","LTBudgetPerEnroll","LTBudgetPerSqFt","ESLPer"
"189, 132 & 1121","KIPP DC - KEY Academy PCS, LEAP Academy PCS, and Promise Academy PCS","4801 Benning Road, SE",1608,84681,"38.88262754","-76.93439427","7",NA,"Mixed",NA,NA,NA,"PCS","334","1","11","9","15","2","161",37,0.482035928143713,0.110778443113772,253.535928143713,NA,NA,0.0029940119760479
"1129, 190 & 121","KIPP DC - Grow Academy PCS, LEAD Academy PCS, and WILL Academy PCS","421 P Street, NW",1195,100671,"38.90988639","-77.01811734","6",NA,"Elementary",NA,NA,NA,"PCS","302","4","7","15","5","0","127",27,0.420529801324503,0.0894039735099338,333.347682119205,NA,NA,0.0132450331125828
"209, 242 & 214","KIPP DC - Connect Academy PCS, Spring Academy PCS, and  Northeast Academy PCS","1375 Mt Olivet Road, NE",1206,67000,"38.90807397","-76.98113601","5",NA,"Elementary",NA,NA,NA,"PCS","301","2","17","4","0","0","159",21,0.528239202657807,0.0697674418604651,222.591362126246,NA,NA,0.00664451827242525
"209, 242 & 214","KIPP DC - Connect Academy PCS, Spring Academy PCS, and  Northeast Academy PCS","1375 Mt Olivet Road, NE",1206,67000,"38.90807397","-76.98113601","5",NA,"Elementary",NA,NA,NA,"PCS","102","0","4","1","0","0","60",5,0.588235294117647,0.0490196078431373,656.862745098039,NA,NA,0
"1110 & 218","DC  Prep PCS - Benning (Elementary and Middle Schools)","100 41st Street, NE",849,107130,"38.8910218","-76.94482148","7",NA,"Middle",NA,NA,NA,"PCS","152","1","9","8","3","2","67",22,0.440789473684211,0.144736842105263,704.802631578947,NA,NA,0.00657894736842105
"222 & 170","Paul PCS - International Middle and High Schools","5800 8th Street, NW",780,128000,"38.96136545","-77.02472307","4",NA,"Elementary",NA,NA,NA,"PCS","325","24","9","25","7","1","159",42,0.489230769230769,0.129230769230769,393.846153846154,NA,NA,0.0738461538461539
"236 & 237","KIPP DC - Arts & Technology Academy PCS and Quest Academy PCS","5300 Blaine Street, NE",764,67378,NA,NA,NA,NA,"Elementary",NA,NA,NA,"PCS","212","1","12","1","0","1","129",14,0.608490566037736,0.0660377358490566,317.820754716981,NA,NA,0.00471698113207547
"236 & 237","KIPP DC - Arts & Technology Academy PCS and Quest Academy PCS","5300 Blaine Street, NE",764,67378,NA,NA,NA,NA,"Mixed",NA,NA,NA,"PCS","282","1","18","15","3","7","176",43,0.624113475177305,0.152482269503546,238.929078014184,NA,NA,0.00354609929078014
"209, 242 & 214","KIPP DC - Connect Academy PCS, Spring Academy PCS, and  Northeast Academy PCS","1375 Mt Olivet Road, NE",1206,67000,"38.90807397","-76.98113601","5",NA,"Middle",NA,NA,NA,"PCS","126","1","2","17","1","2","70",22,0.555555555555556,0.174603174603175,531.746031746032,NA,NA,0.00793650793650794
"362 & 361","Friendship PCS - Blow-Pierce (Elementary and Middle Schools)","725 19th Street, NE",925,52944,"38.89782045","-76.97648125","7",NA,"Elementary",NA,NA,NA,"PCS","379","6","10","3","0","1","289",14,0.762532981530343,0.0369393139841689,139.693931398417,NA,NA,0.0158311345646438
"362 & 361","Friendship PCS - Blow-Pierce (Elementary and Middle Schools)","725 19th Street, NE",925,52944,"38.89782045","-76.97648125","7",NA,"Middle",NA,NA,NA,"PCS","213","1","9","20","3","10","147",42,0.690140845070423,0.197183098591549,248.56338028169,NA,NA,0.00469483568075117
"363 & 364","Friendship PCS - Chamberlain (Elementary and Middle Schools)","1345 Potomac Avenue, SE",1046,80860,"38.87938499","-76.9868023","6",NA,"Elementary",NA,NA,NA,"PCS","375","1","10","7","0","1","235",18,0.626666666666667,0.048,215.626666666667,NA,NA,0.00266666666666667
"363 & 364","Friendship PCS - Chamberlain (Elementary and Middle Schools)","1345 Potomac Avenue, SE",1046,80860,"38.87938499","-76.9868023","6",NA,"Middle",NA,NA,NA,"PCS","343","0","14","29","12","4","200",59,0.583090379008746,0.17201166180758,235.743440233236,NA,NA,0
"365 & 366","Friendship PCS - Woodridge (Elementary and Middle Schools)","2959 Carlton Avenue, NE",600,37000,"38.92954664","-76.9665146","5",NA,"Elementary",NA,NA,NA,"PCS","284","8","8","3","1","0","127",12,0.447183098591549,0.0422535211267606,130.281690140845,NA,NA,0.028169014084507
"365 & 366","Friendship PCS - Woodridge (Elementary and Middle Schools)","2959 Carlton Avenue, NE",600,37000,"38.92954664","-76.9665146","5",NA,"Middle",NA,NA,NA,"PCS","168","1","4","18","8","5","75",35,0.446428571428571,0.208333333333333,220.238095238095,NA,NA,0.00595238095238095
"1110 & 218","DC  Prep PCS - Benning (Elementary and Middle Schools)","100 41st Street, NE",849,107130,"38.8910218","-76.94482148","7",NA,"Elementary",NA,NA,NA,"PCS","442","8","9","10","1","2","231",22,0.52262443438914,0.0497737556561086,242.37556561086,NA,NA,0.0180995475113122
"1211 & 1113","Excel Academy PCS (LEAD and DREAM)","2501 Martin Luther King Jr. Avenue, SE",1292,86800,"38.85976209","-76.99535457","8",NA,"Elementary",NA,NA,NA,"PCS","569","0","9","8","4","2","366",23,0.64323374340949,0.0404217926186292,152.548330404218,NA,NA,0
"1118 & 125","Washington Latin PCS (Middle and Upper Schools)","5200 2nd Street, NW",835,64299,"38.95388895","-77.01381902","4",NA,"High",NA,NA,NA,"PCS","304","6","23","7","0","1","70",31,0.230263157894737,0.101973684210526,211.509868421053,NA,NA,0.0197368421052632
"189, 132 & 1121","KIPP DC - KEY Academy PCS, LEAP Academy PCS, and Promise Academy PCS","4801 Benning Road, SE",1608,84681,"38.88262754","-76.93439427","7",NA,"Elementary",NA,NA,NA,"PCS","400","3","23","12","14","6","219",55,0.5475,0.1375,211.7025,NA,NA,0.0075
"116, 1122 &3071","KIPP DC - AIM Academy PCS, Discover Academy PCS, and Heights Academy PCS","2600 Douglass Place, SE",1900,144000,"38.85662232","-76.98804884","8",NA,"Elementary",NA,NA,NA,"PCS","330","0","18","2","2","0","203",22,0.615151515151515,0.0666666666666667,436.363636363636,NA,NA,0
"1129, 190 & 121","KIPP DC - Grow Academy PCS, LEAD Academy PCS, and WILL Academy PCS","421 P Street, NW",1195,100671,"38.90988639","-77.01811734","6",NA,"Elementary",NA,NA,NA,"PCS","312","3","14","2","0","1","140",17,0.448717948717949,0.0544871794871795,322.663461538462,NA,NA,0.00961538461538462
"1206 & 1138","E.L. Haynes PCS - Kansas Avenue (Elementary and High Schools)","4501 Kansas Avenue, NW",861,71447,"38.94560189","-77.02241638","4",NA,"High",NA,NA,NA,"PCS","422","66","14","51","13","12","218",90,0.516587677725118,0.213270142180095,169.305687203791,NA,NA,0.156398104265403
"1206 & 1138","E.L. Haynes PCS - Kansas Avenue (Elementary and High Schools)","4501 Kansas Avenue, NW",861,71447,"38.94560189","-77.02241638","4",NA,"Elementary",NA,NA,NA,"PCS","358","108","17","9","6","7","126",39,0.35195530726257,0.108938547486034,199.572625698324,NA,NA,0.301675977653631
"1207,184 & 182","Capital City PCS (Lower, Middle, and High Schools)","100 Peabody Street, NW",1180,171100,"38.96216486","-77.01286745","4",NA,"High",NA,NA,NA,"PCS","329","50","6","28","12","14","148",60,0.449848024316109,0.182370820668693,520.060790273556,NA,NA,0.151975683890578
"1211 & 1113","Excel Academy PCS (LEAD and DREAM)","2501 Martin Luther King Jr. Avenue, SE",1292,86800,"38.85976209","-76.99535457","8",NA,"Middle",NA,NA,NA,"PCS","155","0","6","7","12","2","100",27,0.645161290322581,0.174193548387097,560,NA,NA,0
"116, 1122 &3071","KIPP DC - AIM Academy PCS, Discover Academy PCS, and Heights Academy PCS","2600 Douglass Place, SE",1900,144000,"38.85662232","-76.98804884","8",NA,"Elementary",NA,NA,NA,"PCS","415","0","25","20","5","7","229",57,0.551807228915663,0.137349397590361,346.987951807229,NA,NA,0
"SchoolCode","SchoolCode","SchoolCode",NA,NA,"SchoolCode","SchoolCode","SchoolCode","SchoolCode","Mixed",NA,NA,NA,"SchoolCode","SchoolCode","SchoolCode","SchoolCode","SchoolCode","SchoolCode","SchoolCode","SchoolCode",NA,NA,NA,NA,NA,NA,NA
