"SCHOOLCODE","Level","Address","maxOccupancy","totalSQFT","Total.Enrolled","School","Limited.English.Proficient","At_Risk","SPED","latitude","longitude","Ward","MajorExp9815","TotalAllotandPlan1621","LifetimeBudget","Agency","AtRiskPer","SPEDPer","ESLPer","SqFtPerEnroll","SpentPerEnroll","SpentPerSqFt","FeederMS","FeederHS","ProjectPhase","YrComplete","ProjectType"
3072,"PK3-K","2011 Savannah Terrace, SE","120",7484,78,"AppleTree Early Learning PCS Southeast",1,129,4,38.84876326,-76.9749201,"8",NA,NA,NA,"PCS",1.65384615384615,0.0512820512820513,0.0128205128205128,95.9487179487179,NA,NA,NA,NA,NA,NA,NA
3072,"PK3-K","2017 Savannah Terrace, SE","110",9677,100,"AppleTree Early Learning PCS Southeast",1,129,4,38.84876326,-76.9749201,"8",NA,NA,NA,"PCS",1.29,0.04,0.01,96.77,NA,NA,NA,NA,NA,NA,NA
196,"MS"," 701 Edgewood Street, NE","340",39746,294,"D C  Preparatory Edgewood Middle Campus PCS",1,101,46,38.92473904,-76.99600905,"5",NA,NA,NA,"PCS",0.343537414965986,0.156462585034014,0.00340136054421769,135.190476190476,NA,NA,NA,NA,NA,NA,NA
1110,"ES","100 41st Street, NE","849",80352,442,"D C  Preparatory Benning Campus PCS",8,231,22,38.8910218,-76.94482148,"7",NA,NA,NA,"PCS",0.52262443438914,0.0497737556561086,0.0180995475113122,181.79185520362,NA,NA,NA,NA,NA,NA,NA
184,"ES","100 Peabody Street, NW"," 	1,180 ",57033,322,"Capital City Lower PCS",95,72,15,38.96216486,-77.01286745,"4",NA,NA,NA,"PCS",0.22360248447205,0.046583850931677,0.295031055900621,177.121118012422,NA,NA,NA,NA,NA,NA,NA
218,"MS","101 41st Street, NE","",26784,152,"D C Preparatory Benning Middle Campus",1,67,22,38.8910218,-76.94482148,"7",NA,NA,NA,"PCS",0.440789473684211,0.144736842105263,0.00657894736842105,176.210526315789,NA,NA,NA,NA,NA,NA,NA
182,"MS","101 Peabody Street, NW","",57033,320,"Capital City Middle School",38,111,56,38.96216486,-77.01286745,"4",NA,NA,NA,"PCS",0.346875,0.175,0.11875,178.228125,NA,NA,NA,NA,NA,NA,NA
1125,"ES","1017 New Jersey Avenue, SE","190",8500,146,"Eagle Academy PCS New Jersey Avenue Campus",0,79,11,38.8778378,-77.00508258,"6",NA,NA,NA,"PCS",0.541095890410959,0.0753424657534247,0,58.2191780821918,NA,NA,NA,NA,NA,NA,NA
163,"HS","1027 45th Street, NE","490",70000,217,"IDEA PCS",1,165,42,38.90454891,-76.93710358,"7",NA,NA,NA,"PCS",0.76036866359447,0.193548387096774,0.00460829493087558,322.58064516129,NA,NA,NA,NA,NA,NA,NA
1108,"ES/MS","1217 W  Virginia Avenue, NE","434",23313,236,"Center City Trinidad Campus PCS",4,132,26,38.90529915,-76.99120218,"5",NA,NA,NA,"PCS",0.559322033898305,0.110169491525424,0.0169491525423729,98.7838983050847,NA,NA,NA,NA,NA,NA,NA
105,"ES","1300 Allison Street, NW","957",55000,590,"Community Academy Amos I",213,261,53,38.94470049,-77.03054061,"4",NA,NA,NA,"PCS",0.442372881355932,0.0898305084745763,0.361016949152542,93.2203389830509,NA,NA,NA,NA,NA,NA,NA
363,"ES","1345 Potomac Avenue, SE"," 	1,046 ",42232,375,"Friendship PCS Chamberlain Elementary",1,235,18,38.87938499,-76.9868023,"6",NA,NA,NA,"PCS",0.626666666666667,0.048,0.00266666666666667,112.618666666667,NA,NA,NA,NA,NA,NA,NA
364,"MS","1345 Potomac Avenue, SE","",38628,343,"Friendship PCS Chamberlain Middle",0,200,59,38.87938,-76.9868,"6",NA,NA,NA,"PCS",0.583090379008746,0.17201166180758,0,112.618075801749,NA,NA,NA,NA,NA,NA,NA
108,"ES/MS","1351 Nicholson Street, NW","217",20100,123,"Community Academy CAPCS Online",0,43,21,38.9059779,-77.0321778,"2",NA,NA,NA,"PCS",0.349593495934959,0.170731707317073,0,163.414634146341,NA,NA,NA,NA,NA,NA,NA
169,"MS/HS","1375 E Street, NE"," 	1,127 ",66622,268,"Options PCS",0,218,168,38.89585026,-76.98621343,"6",NA,NA,NA,"PCS",0.813432835820896,0.626865671641791,0,248.589552238806,NA,NA,NA,NA,NA,NA,NA
209,"PK3-K","1375 Mt Olivet Road, NE"," 	1,206 ",38123,301,"KIPP DC Connect Academy",2,159,21,38.90807397,-76.98113601,"5",NA,NA,NA,"PCS",0.528239202657807,0.0697674418604651,0.00664451827242525,126.654485049834,NA,NA,NA,NA,NA,NA,NA
214,"ES","1375 Mt Olivet Road, NE","",12919,102,"KIPP DC Spring Academy",0,60,5,38.90807397,-76.98113601,"5",NA,NA,NA,"PCS",0.588235294117647,0.0490196078431373,0,126.656862745098,NA,NA,NA,NA,NA,NA,NA
242,"MS","1375 Mt Olivet Road, NE","",15958,126,"KIPP DC Northeast Academy PCS",1,70,22,NA,NA,NA,NA,NA,NA,"PCS",0.555555555555556,0.174603174603175,0.00793650793650794,126.650793650794,NA,NA,NA,NA,NA,NA,NA
3073,"PK3-K","138 12th Street, NE","73",8975,60,"AppleTree Early Learning Center PCS Lincoln Park",2,5,5,38.89151343,-76.99053567,"6",NA,NA,NA,"PCS",0.0833333333333333,0.0833333333333333,0.0333333333333333,149.583333333333,NA,NA,NA,NA,NA,NA,NA
106,"ES","1400 1st Street, NW"," 	1,020 ",1e+05,523,"Community Academy Butler Global",51,272,35,38.90908026,-77.0132191,"5",NA,NA,NA,"PCS",0.520076481835564,0.0669216061185468,0.0975143403441683,191.204588910134,NA,NA,NA,NA,NA,NA,NA
1123,"HS","1401 Brentwood Parkway, NE","500",187423,454,"KIPP DC College Prep PCS",0,232,86,38.85662232,-76.98804884,"8",NA,NA,NA,"PCS",0.511013215859031,0.18942731277533,0,412.825991189427,NA,NA,NA,NA,NA,NA,NA
135,"ES/MS","1404 Jackson Street, NE","450",56927,381,"Mary McLeod Bethune Day Academy PCS Slowe Campus",8,237,35,38.92960592,-76.98686463,"5",NA,NA,NA,"PCS",0.622047244094488,0.0918635170603675,0.020997375328084,149.41469816273,NA,NA,NA,NA,NA,NA,NA
217,"ES","1500 Mississippi Avenue, SE","N/A",23302,267,"Achievement Preparatory PCS-Elementary",1,132,23,38.83432822,-76.99226882,"8",NA,NA,NA,"PCS",0.49438202247191,0.0861423220973783,0.00374531835205993,87.2734082397004,NA,NA,NA,NA,NA,NA,NA
1104,"ES/MS","1503 East Capitol Street, SE","534",40037,239,"Center City Capitol Hill Campus PCS",0,112,23,38.88952582,-76.98330456,"6",NA,NA,NA,"PCS",0.468619246861925,0.096234309623431,0,167.518828451883,NA,NA,NA,NA,NA,NA,NA
161,"PK3-12","1800 Perry Street, NE"," 	1,250 ",171000,619,"Perry Street Prep PCS",10,343,93,38.93679648,-76.97859551,"5",NA,NA,NA,"PCS",0.554119547657512,0.150242326332795,0.0161550888529887,276.252019386107,NA,NA,NA,NA,NA,NA,NA
