"Agency","School","SCHOOLCODE","Address","maxOccupancy","ProjectPhase","YrComplete","Level","totalSQFT","ProjectType","MajorExp9815","TotalAllotandPlan1621","LifetimeBudget","longitude","latitude","Ward","FeederMS","FeederHS","Total.Enrolled","Limited.English.Proficient","At_Risk","SPED","AtRiskPer","SPEDPer","ESLPer","SqFtPerEnroll","SpentPerEnroll","SpentPerSqFt"
"DCPS","Janney Elementary School",254,"4130 Albemarle St  NW","700","Full",2011,"ES",96083,"FULL MOD + ADD",37443325,0,37949758,-77.080994825,38.947550086,"3","Deal MS","Wilson HS",693,30,8,38,0.0115440115440115,0.0548340548340548,0.0432900432900433,138.647907647908,54030.772005772,389.697709272192
"DCPS","Ketcham Elementary School",257,"1919 15th St  SE","325","Phase I",2012,"ES",88288,"PARTIAL MOD",8328691,0,8336451,-76.983621162,38.86604236,"8","Kramer MS","Anacostia HS",309,0,265,37,0.857605177993528,0.119741100323625,0,285.721682847896,26953.6925566343,94.3354816056542
"DCPS","Key Elementary School",272,"5001 Dana Pl  NW","364","Full",2003,"ES",50000,"FULL MOD + ADD",13007488,0,13007488,-77.100527318,38.926801504,"3","Hardy MS","Wilson HS",383,28,12,27,0.031331592689295,0.0704960835509138,0.0731070496083551,130.548302872063,33962.1096605744,260.14976
"DCPS","Kimball Elementary School",259,"3375 Minnesota Ave  SE","398","Phase 0",NA,"ES",83392,"STABILIZED",0,17696000,17696000,-76.957572707,38.883082756,"7","Sousa MS","Anacostia HS",348,0,268,48,0.770114942528736,0.137931034482759,0,239.632183908046,0,0
"DCPS","Lafayette Elementary School",261,"5701 Broad Branch Rd  NW","516","Full",2015,"ES",113600,"FULL MOD + ADD",9939007,59373105,78650000,-77.068037122,38.96662722,"4","Deal MS","Wilson HS",697,21,19,47,0.0272596843615495,0.0674318507890961,0.03012912482066,162.984218077475,14259.6944045911,87.4912588028169
"DCPS","Langdon Education Campus",262,"1900 Evarts St  NE","500","Phase I",2015,"ES",101392,"PARTIAL MOD",19828246,0,20824380,-76.977081855,38.924703828,"5","McKinley MS","Dunbar HS",340,17,191,56,0.561764705882353,0.164705882352941,0.05,298.211764705882,58318.3705882353,195.560261164589
"DCPS","Langley Education Campus",370,"101 T Street NE","530","Phase II",2011,"ES",1e+05,"PARTIAL MOD",10253618,0,10273670,-77.005890393,38.915162564,"5","McKinley MS","Dunbar HS",289,7,186,28,0.643598615916955,0.0968858131487889,0.0242214532871972,346.020761245675,35479.6470588235,102.53618
"DCPS","Leckie Elementary School",266,"4201 M L  King Ave  SW","480","Phase I",2012,"ES",65000,"PARTIAL MOD",595860,0,595860,-77.012891913,38.828196449,"8","Hart MS","Ballou HS",478,8,226,53,0.472803347280335,0.110878661087866,0.0167364016736402,135.983263598326,1246.5690376569,9.16707692307692
"DCPS","Ludlow-Taylor Elementary School",271,"659 G St  NE","362","Phase I",2013,"ES",66896,"PARTIAL MOD",11489803,-1026290,11762825,-76.996492494,38.898743808,"6","Stuart-Hobson MS","Eastern HS",340,3,109,31,0.320588235294118,0.0911764705882353,0.00882352941176471,196.752941176471,33793.5382352941,171.756203659412
"DCPS","Mann Elementary School",273,"4430 Newark St NW","370","Full",2015,"ES",60969,"FULL MOD + ADD",34565362,-5e+05,37197238,-77.087826194,38.934291971,"3","Hardy MS","Wilson HS",302,34,4,12,0.0132450331125828,0.0397350993377483,0.112582781456954,201.884105960265,114454.841059603,566.933392379734
