"School_ID","Agency","Address","maxOccupancy","Level","totalSQFT","MajorExp9815","TotalAllotandPlan1621","LifetimeBudget","unqBuilding","longitude","latitude","Ward","FeederMS","FeederHS","Total_Enrolled","Limited_English","At_Risk","SPED","AtRiskPer","SPEDPer","ESLPer","SpentPerMaxOccupancy","SpentPerSqFt","Open_Now","ProjectType","School"
405,"DCPS","3815 Fort Dr  NW",1370,"MS",223689,73524856,0,73524856,1,-77.075199068,38.952896407,3,"","Wilson HS",1312,47,99,166,0.0754573170731707,0.126524390243902,0.0358231707317073,53667.7781021898,328.692318352713,1,"Full Modernization","Deal Middle"
231,"DCPS","5600 Eads St  NE",362,"ES",72800,4898637,0,4898637,1,-76.919927008,38.89599364,7,"Kelly Miller MS","Woodson HS",201,0,166,34,0.825870646766169,0.169154228855721,0,13532.1464088398,67.2889697802198,1,"Partial Modernization","Drew Elementary"
467,"DCPS","101 N St. NW",1100,"HS",260000,122897293,-250000,122647293,1,-77.014693861,38.908523215,5,"","",653,6,483,198,0.739663093415008,0.303215926493109,0.00918836140888208,111724.811818182,472.681896153846,1,"Full Replacement","Dunbar High"
457,"DCPS","1700 East Capitol St NE",1100,"HS",310721,74502874,0,74502874,1,-76.979684293,38.890402328,6,"","",1025,3,714,296,0.696585365853658,0.288780487804878,0.00292682926829268,67729.8854545455,239.774183270522,1,"Full Modernization","Eastern High"
232,"DCPS","3301 Lowell St  NW",415,"ES",49096,81414,15552000,15633414,1,-77.065821138,38.932726738,3,"Hardy MS","Wilson HS",475,43,26,35,0.0547368421052632,0.0736842105263158,0.0905263157894737,196.178313253012,1.65826136548802,1,"Stabilized","Eaton Elementary"
407,"DCPS","1830 Constitution Ave  NE",742,"MS",155072,210957,40911043,41122000,1,-76.978977919,38.892431159,6,"","Eastern HS",257,2,161,63,0.626459143968872,0.245136186770428,0.00778210116731518,284.308625336927,1.36038098431696,1,"Stabilized","Eliot-Hine Middle"
471,"DCPS","3500 R St NW",500,"HS",258072,34081441,61688778,95770219,1,-77.070307568,38.913446043,2,"","",523,5,175,25,0.334608030592734,0.0478011472275335,0.00956022944550669,68162.882,132.061754084132,1,"Full Modernization","Ellington School of the Arts"
238,"DCPS","2435 Alabama Ave  SE",365,"ES",58904,1082203,12583908,13666111,1,-76.970804777,38.851733042,8,"Johnson MS","Ballou HS",284,0,233,35,0.820422535211268,0.123239436619718,0,2964.9397260274,18.3723176694282,1,"Stabilized","Garfield Elementary"
NA,"DCPS","2001 10th St NW",NA,"MS",82700,5560714,0,5560714,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.2395888754534,0,"Stabilized","Garnett Patterson"
239,"DCPS","1200 S St  NW",356,"ES",60200,655646,20000000,20655646,1,-77.028612556,38.913900957,2,"Cardozo EC (6-8)","Cardozo EC (9-12)",244,35,117,40,0.479508196721311,0.163934426229508,0.14344262295082,1841.70224719101,10.8911295681063,1,"Stabilized","Garrison Elementary"
