"MajorExp9815","YearsOpen","Open","Open.Now","School","Total.Enrolled","Limited.English.Proficient","At_Risk","SPED","Level","Address","maxOccupancy","totalSQFT","unqBuilding","longitude","latitude","Ward","TotalAllotandPlan1621","LifetimeBudget","FeederMS","FeederHS","ProjectPhase","YrComplete","ProjectType","Agency","AtRiskPer","SPEDPer","ESLPer","SqFtPerEnroll","SpentPerMaxOccupancy","SpentPerSqFt","AnnualExpenseAverage","AnnualSpentPerMaxOccupany","AnnualSpentPerSqFt"
697944,2,2014,1,"D C Preparatory Benning Middle Campus",152,1,67,22,"MS","101 41st Street, NE",NA,26784,1,-76.944288,38.891529,"7",NA,NA,NA,NA,NA,NA,NA,"PCS",0.440789473684211,0.144736842105263,0.00657894736842105,176.210526315789,NA,26.0582437275986,348972,NA,13.0291218637993
9341738,8,2008,1,"D C  Preparatory Edgewood Elementary Campus PCS",432,20,197,28,"ES","707 Edgewood Street, NE",499,50050,1,-76.9955558,38.9241765,"5",NA,NA,NA,NA,NA,NA,NA,"PCS",0.456018518518519,0.0648148148148148,0.0462962962962963,115.856481481481,18720.9178356713,186.648111888112,1167717.25,2340.11472945892,23.331013986014
6749878,8,2008,1,"D C  Preparatory Edgewood Middle Campus PCS",294,1,101,46,"MS"," 701 Edgewood Street, NE",340,39746,1,-76.9959848,38.9247765,"5",NA,NA,NA,NA,NA,NA,NA,"PCS",0.343537414965986,0.156462585034014,0.00340136054421769,135.190476190476,19852.5823529412,169.825340914809,843734.75,2481.57279411765,21.2281676143511
6850144,6,2010,1,"E L  Haynes PCS Georgia Avenue",377,54,157,77,"MS","3600 Georgia Avenue, NW",516,45484,1,-77.0243669,38.9343788,"1",NA,NA,NA,NA,NA,NA,NA,"PCS",0.416445623342175,0.204244031830239,0.143236074270557,120.647214854111,13275.4728682171,150.60557558702,1141690.66666667,2212.57881136951,25.1009292645033
5596776,5,2011,1,"E.L. Haynes Kansas Avenue - High School",422,66,218,90,"HS","4501 Kansas Avenue, NW",861,17647,1,-77.022371,38.945657,"4",NA,NA,NA,NA,NA,NA,NA,"PCS",0.516587677725118,0.213270142180095,0.156398104265403,41.8175355450237,6500.32055749129,317.151697172324,1119355.2,1300.06411149826,63.4303394344648
2661384,3,2012,1,"E.L. Haynes PCS Kansas Avenue (Elementary School)",358,108,126,39,"ES","4502 Kansas Avenue, NW",NA,53800,1,-77.0234943,38.9451898,"4",NA,NA,NA,NA,NA,NA,NA,"PCS",0.35195530726257,0.108938547486034,0.301675977653631,150.279329608939,NA,49.4681040892193,887128,NA,16.4893680297398
8332774,7,2009,1,"Excel Academy PCS",569,0,366,23,"ES","2501 Martin Luther King Jr. Avenue, SE",1292,67508,1,-76.9952947,38.8600148,"8",NA,NA,NA,NA,NA,NA,NA,"PCS",0.64323374340949,0.0404217926186292,0,118.643233743409,6449.51547987616,123.433874503763,1190396.28571429,921.359354268023,17.6334106433946
476160,1,2015,1,"Excel Academy PCS LEAD",155,0,100,27,"MS","2502 Martin Luther King Jr. Avenue, SE",NA,19288,1,-76.9939568,38.8608853,"8",NA,NA,NA,NA,NA,NA,NA,"PCS",0.645161290322581,0.174193548387097,0,124.438709677419,NA,24.6868519286603,476160,NA,24.6868519286603
8335030,8,2008,1,"Hope Community PCS Lamond Campus",358,13,148,22,"ES","6200 Kansas Avenue, NE",500,41000,1,-77.0085903,38.9658162,"4",NA,NA,NA,NA,NA,NA,NA,"PCS",0.41340782122905,0.0614525139664804,0.0363128491620112,114.525139664804,16670.06,203.293414634146,1041878.75,2083.7575,25.4116768292683
9509758,8,2008,1,"Hope Community PCS Tolson Campus",517,34,264,43,"ES/MS","2917 8th Street, NE",540,33571,1,-76.9946003,38.927028,"5",NA,NA,NA,NA,NA,NA,NA,"PCS",0.51063829787234,0.0831721470019342,0.0657640232108317,64.9342359767892,17610.662962963,283.273003485151,1188719.75,2201.33287037037,35.4091254356439
8354731,10,2006,1,"KIPP DC AIM PCS Academy PCS",321,1,189,74,"MS","2600 Douglass Place, SE",1900,144000,1,-76.9912057,38.8569692,"8",NA,NA,NA,NA,NA,NA,NA,"PCS",0.588785046728972,0.230529595015576,0.00311526479750779,448.598130841121,4397.22684210526,58.0189652777778,835473.1,439.722684210526,5.80189652777778
