"Agency","maxOccupancy","Level","MajorExp9815","TotalAllotandPlan1621","LifetimeBudget","FeederMS","FeederHS","AtRiskPer","SpentPerMaxOccupancy","SpentPerSqFt","Open_Now","AnnualExpenseAverage","AnnualSpentPerMaxOccupany","AnnualSpentPerSqFt","Ward","School"
"PCS",1241,"ES","10094728",14507856,NA,NA,NA,0.602067183462532,13042.2842377261,168.245466666667,1,1682454.66666667,2173.71403962102,28.0409111111111,"8","Eagle Academy- Eagle Center at McGogney"
"PCS",NA,"ES","483192",1611984,NA,NA,NA,0.27906976744186,5618.51162790698,30.8158163265306,1,241596,2809.25581395349,15.4079081632653,"4","Sela "
"DCPS",442,"ES","8916",12115000,"14515000","Kelly Miller MS","Woodson HS",0.816793893129771,20.1719457013575,0.15614711033275,1,NA,NA,NA,"7","Aiton Elementary"
"DCPS",563,"ES","1446450",59943000,"66496000","Deal MS","Wilson HS",0.356299212598425,2569.18294849023,18.1277571686385,1,NA,NA,NA,"1","Bancroft Elementary"
"DCPS",486,"ES","17867772",0,"17867772","Truesdell or West EC (6th-8th)","Roosevelt HS",0.471760797342193,36764.962962963,246.465625689693,1,NA,NA,NA,"4","Barnard Elementary"
"DCPS",430,"ES","14813933",-24188,"15123196","Sousa MS","Anacostia HS",0.554794520547945,34451.0069767442,191.177124199876,1,NA,NA,NA,"7","Beers Elementary"
"PCS",560,"ES/MS","6138356",8228616,NA,NA,NA,0.507972665148064,13982.5876993166,131.06343546493,1,1023059.33333333,2330.43128321944,21.8439059108217,"5","William E. Doar Jr "
"PCS",155,"ADULT","1339656",5117112,NA,NA,NA,0,4907.16483516484,121.786909090909,1,669828,2453.58241758242,60.8934545454545,"8","Community College Preparatory Academy "
"PCS",NA,"ES","3963509",5004648,NA,NA,NA,0.49438202247191,14844.6029962547,170.093082138872,1,566215.571428571,2120.65757089353,24.2990117341246,"8","Achievement Preparatory-Elementary"
"PCS",NA,"MS","697944",2849088,NA,NA,NA,0.440789473684211,4591.73684210526,26.0582437275986,1,348972,2295.86842105263,13.0291218637993,"7","DC Preparatory Benning Middle Campus"
"DCPS",320,"ES","20270264",0,"20270264","Cardozo EC (6-8)","Cardozo EC (9-12)",0.444805194805195,63344.575,382.457811320755,1,NA,NA,NA,"1","Cleveland Elementary"
"PCS",162,"ES","227328",1387056,NA,NA,NA,0.135135135135135,3072,17.2218181818182,1,227328,3072,17.2218181818182,"5","Lee Montessori "
"DCPS",415,"ES","81414",15552000,"15633414","Hardy MS","Eastern HS",0.626459143968872,196.178313253012,1.65826136548802,1,NA,NA,NA,"3","Eaton Elementary"
"PCS",890,"ES","1904640",11621280,NA,NA,NA,0.703225806451613,3072,44.7855530474041,1,1904640,3072,44.7855530474041,"8","Democracy Prep-Congress Heights"
"DCPS",365,"ES","1082203",12583908,"14338493","Johnson MS","Ballou HS",0.820422535211268,2964.9397260274,18.3723176694282,1,NA,NA,NA,"8","Garfield Elementary"
"DCPS",356,"ES","655646",2e+07,"2.40E+07","Cardozo EC (6-8)","Cardozo EC (9-12)",0.479508196721311,1841.70224719101,10.8911295681063,1,NA,NA,NA,"2","Garrison Elementary"
"PCS",220,"ES","202752",1237104,NA,NA,NA,0.606060606060606,3072,10.1376,1,202752,3072,10.1376,"5","Harmony DC-School of Excellence"
"PCS",308,"MS","645120",3936240,NA,NA,NA,0.20952380952381,3072,31.9097788989464,1,645120,3072,31.9097788989464,"1","District of Columbia International School"
"DCPS",520,"ES","15937127",0,"16150915","Hart MS","Ballou HS",0.900596421471173,30648.3211538462,217.72031420765,1,NA,NA,NA,"8","Hendley Elementary"
"DCPS",398,"ES","1191032",15693000,"16943000","Kelly Miller MS","Woodson HS",0.74910394265233,2992.54271356784,19.8850006678242,1,NA,NA,NA,"7","Houston Elementary"
"DCPS",325,"ES","8328691",0,"8336451","Kramer MS","Anacostia HS",0.857605177993528,25626.7415384615,94.3354816056542,1,NA,NA,NA,"8","Ketcham Elementary"
"DCPS",330,"ES","35678706",361277,"43433519","Deal MS","Wilson HS",0.134020618556701,108117.290909091,572.609189683673,1,NA,NA,NA,"3","Hearst Elementary"
"DCPS",398,"ES","0",17696000,"17696000","Sousa MS","Anacostia HS",0.770114942528736,0,0,1,NA,NA,NA,"7","Kimball Elementary"
"DCPS",516,"ES","9939007",59373105,"78650000","Deal MS","Wilson HS",0.0272596843615495,19261.6414728682,87.4912588028169,1,NA,NA,NA,"4","Lafayette Elementary"
"DCPS",370,"ES","34565362",-5e+05,"37197238","Hardy MS","Wilson HS",0.0132450331125828,93419.8972972973,566.933392379734,1,NA,NA,NA,"3","Mann Elementary"
"DCPS",300,"ES","6444395",5044000,"12620745","Eliot-Hine MS","Eastern HS",0.131147540983607,21481.3166666667,137.700747863248,1,NA,NA,NA,"6","Maury Elementary"
"DCPS",470,"ES","2970097",54503000,"64904196","Col Hts. Ed. Campus (6-8)","Cardozo EC (9-12)",0.363867684478371,6319.35531914894,18.2563987509835,1,NA,NA,NA,"1","Marie Reed Elementary"
"DCPS",480,"ES","27716993",0,"27856881","Kramer MS","Anacostia HS",0.881012658227848,57743.7354166667,278.01509589151,1,NA,NA,NA,"8","Moten Elementary"
"DCPS",488,"ES","748083",63156000,"68294774","Deal MS","Wilson HS",0.0290322580645161,1532.95696721311,15.6843970144247,1,NA,NA,NA,"3","Murch Elementary"
"DCPS",400,"ES","11521407",0,"11570572","Kelly Miller MS","Woodson HS",0.768229166666667,28803.5175,137.323087008343,1,NA,NA,NA,"7","Nalle Elementary"
"DCPS",392,"ES",NA,41995000,"44995000","Kramer MS","Anacostia HS",0.768229166666667,NA,NA,1,NA,NA,NA,"8","Orr Elementary"
"DCPS",348,"ES","22389213",27450,"27815086","Eliot-Hine MS","Eastern HS",0.595667870036101,64336.8189655172,267.199887817453,1,NA,NA,NA,"6","Payne Elementary"
"DCPS",448,"ES","13846933",26191,"14299544","Sousa MS","Anacostia HS",0.827102803738318,30908.3325892857,199.546532741526,1,NA,NA,NA,"7","Plummer Elementary"
"DCPS",304,"ES","25490976",2504026,"44744174","Col. Hts. EC (6-8)","Cardozo EC (6-12)",0.452914798206278,83851.8947368421,331.706433479076,1,NA,NA,NA,"4","Powell Elementary"
"DCPS",615,"ES/MS","0",19567000,"19567000","","Roosevelt HS",0.530120481927711,0,0,1,NA,NA,NA,"4","Raymond Education Campus"
"DCPS",430,"ES","21059646",0,"21059646","Kramer MS","Anacostia HS",0.816176470588235,48975.9209302326,242.622649769585,1,NA,NA,NA,"8","Savoy Elementary"
"DCPS",400,"ES","20462934",1274389,"31576280","Hardy MS","Wilson HS",0.185534591194969,51157.335,256.762372013652,1,NA,NA,NA,"4","Shepherd Elementary"
"DCPS",325,"ES","8505311",0,"8672620","Hart MS","Ballou HS",0.774744027303754,26170.1876923077,128.494546168721,1,NA,NA,NA,"8","Simon Elementary"
"DCPS",450,"ES","8391223",0,"8391223","Kramer MS","Anacostia HS",0.633333333333333,18647.1622222222,115.779333848446,1,NA,NA,NA,"7","Randle Highlands Elementary"
"DCPS",586,"ES","23307939",2165644,"36035000","Kramer MS","Anacostia HS",0.868512110726644,39774.6399317406,245.346726315789,1,NA,NA,NA,"8","Stanton Elementary"
"DCPS",344,"ES","152322",12679000,"12831322","Kelly Miller MS","Woodson HS",0.738181818181818,442.796511627907,3.54237209302326,1,NA,NA,NA,"7","Smothers Elementary"
"DCPS",450,"ES/MS","26979598",0,"27036559","","Coolidge HS",0.427601809954751,59954.6622222222,226.734553583434,1,NA,NA,NA,"4","Takoma Education Campus"
"DCPS",320,"ES","25521091",0,"25521091","Jefferson Acad. MS","Eastern HS",0.455882352941176,79753.409375,340.317513868146,1,NA,NA,NA,"2","Thomson Elementary"
"DCPS",542,"ES/MS","4465045",7489000,"11954045","","Roosevelt HS",0.551330798479088,8238.09040590406,64.1529454022989,1,NA,NA,NA,"4","Truesdell Education Campus"
"DCPS",530,"ES","27580545",0,"27695424","Johnson MS","Ballou HS",0.849489795918367,52038.7641509434,272.823489262362,1,NA,NA,NA,"8","Turner Elementary"
"DCPS",278,"ES/MS","0",35095000,"35095000","","Roosevelt HS",0.419475655430712,0,0,1,NA,NA,NA,"4","West Education Campus"
"PCS",600,"ES","18909379",5323296,NA,NA,NA,0.447183098591549,66582.3204225352,511.064297297297,1,1575781.58333333,5548.52670187793,42.5886914414414,"5","Friendship Woodridge Elementary"
"PCS",NA,"MS","516096",3148992,NA,NA,NA,0.446428571428571,3072,NA,1,516096,3072,NA,"5","Friendship Woodridge Middle"
"DCPS",620,"HS","671104",77074000,"78745104","","",0.251670378619154,1082.42580645161,3.72835555555556,1,NA,NA,NA,"1","Benjamin Banneker High"
"DCPS",804,"ES/MS","131951",20636000,"23793129","","Eastern HS",0.68271954674221,164.11815920398,0.612608639132373,1,NA,NA,NA,"5","Browne Education Campus"
"DCPS",600,"MS","30951777",0,"35059047",NA,"Anacostia HS",0.801801801801802,51586.295,201.006448721945,1,NA,NA,NA,"8","Kramer Middle"
"DCPS",636,"MS","0",0,NA,NA,"Anacostia HS",0.735915492957746,0,0,1,NA,NA,NA,"7","Sousa Middle"
"DCPS",1105,"HS","2537691",116633000,"122176717","","",0.762025316455696,2296.55294117647,9.35381865093992,1,NA,NA,NA,"4","Coolidge High"
"DCPS",1100,"HS","122897293",-250000,"125144890","","",0.739663093415008,111724.811818182,472.681896153846,1,NA,NA,NA,"5","Dunbar High"
"DCPS",500,"HS","34081441",61688778,"180437856","","",0.334608030592734,68162.882,132.061754084132,1,NA,NA,NA,"2","Ellington School of the Arts"
"DCPS",NA,"ALT",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,"5","CHOICE Academy at Emery"
"PCS",525,"SPED","6315254",4723488,NA,NA,NA,0.44047619047619,25060.5317460317,63.444384167169,1,701694.888888889,2784.50352733686,7.04937601857433,"6","St. Coletta Special Education "
"PCS",567,"ES/MS","4766091",4648512,NA,NA,NA,0.32258064516129,19218.1088709677,128.778465279654,1,680870.142857143,2745.44412442396,18.3969236113792,"4","Center City Brightwood Campus "
"PCS",534,"ES/MS","4699097",4479816,NA,NA,NA,0.468619246861925,19661.4937238494,117.368858805605,1,671299.571428571,2808.78481769277,16.7669798293721,"6","Center City Capitol Hill Campus "
"PCS",341,"ES/MS","4770011",4817208,NA,NA,NA,0.669260700389105,18560.3540856031,176.667074074074,1,681430.142857143,2651.47915508616,25.2381534391534,"8","Center City Congress Heights Campus "
"PCS",425,"ES/MS","4949770",4910928,NA,NA,NA,0.370229007633588,18892.2519083969,160.576480129765,1,707110,2698.89312977099,22.939497161395,"4","Center City Petworth Campus "
"PCS",350,"ES/MS","4824166",4517304,NA,NA,NA,0.468879668049793,20017.2863070539,164.985157318741,1,689166.571428571,2859.61232957913,23.5693081883916,"2","Center City Shaw Campus "
"PCS",434,"ES/MS","4651663",4423584,NA,NA,NA,0.559322033898305,19710.436440678,199.530862608845,1,664523.285714286,2815.77663438257,28.5044089441207,"5","Center City Trinidad Campus "
"PCS",1292,"ES","8332774",10665336,NA,NA,NA,0.64323374340949,14644.5940246046,123.433874503763,1,1190396.28571429,2092.0848606578,17.6334106433946,"8","Excel Academy "
"PCS",610,"ES","7254586",9896832,NA,NA,NA,0.0416666666666667,13739.7462121212,176.433338197383,1,1036369.42857143,1962.82088744589,25.2047625996262,"5","Washington Yu Ying "
"PCS",835,"HS","4643648",6860304,NA,NA,NA,0.230263157894737,15275.1578947368,158.594535519126,1,663378.285714286,2182.16541353383,22.656362217018,"4","Washington Latin High"
"PCS",500,"HS","5814288",8509776,NA,NA,NA,0.511013215859031,12806.8017621145,31.0222758146012,1,969048,2134.46696035242,5.17037930243353,"5","KIPP DC College Prep "
"PCS",1048,"MS/HS","6129328",9353256,NA,NA,NA,0.707414829659319,12283.2224448898,92.380111230011,1,1021554.66666667,2047.20374081496,15.3966852050018,"8","Friendship Tech Prep"
