"Agency","School","Address","maxOccupancy","ProjectPhase","YrComplete","Level","totalSQFT","ProjectType","MajorExp9815","TotalAllotandPlan1621","LifetimeBudget","unqBuilding","longitude","latitude","Ward","FeederMS","FeederHS","Total.Enrolled","Limited.English.Proficient","At_Risk","SPED","AtRiskPer","SPEDPer","ESLPer","SqFtPerEnroll","SpentPerMaxOccupancy","SpentPerSqFt","YearsOpen","Open","Open.Now","AnnualExpenseAverage","AnnualSpentPerMaxOccupany","AnnualSpentPerSqFt"
"DCPS","Hyde-Addison ES","3219 O St  NW",330,"Phase I",2014,"ES",37504,"PARTIAL MOD",19157333,22284976,43519223,1,-77.064537819,38.908019234,2,"Hardy MS","Wilson HS",305,29,24,25,0.0786885245901639,0.0819672131147541,0.0950819672131148,122.96393442623,58052.5242424242,510.807727175768,NA,NA,1,NA,NA,NA
"DCPS","J.O. Wilson ES","660 K Street NE",480,"Phase I",2010,"ES",98896,"PARTIAL MOD",4264356,0,4264356,1,-76.996589022,38.902757665,6,"Stuart-Hobson MS","Eastern HS",466,6,232,47,0.497854077253219,0.100858369098712,0.0128755364806867,212.223175965665,8884.075,43.1196003882867,NA,NA,1,NA,NA,NA
"DCPS","Janney ES","4130 Albemarle St  NW",700,"Full",2011,"ES",96083,"FULL MOD + ADD",37443325,0,37949758,1,-77.080994825,38.947550086,3,"Deal MS","Wilson HS",693,30,8,38,0.0115440115440115,0.0548340548340548,0.0432900432900433,138.647907647908,53490.4642857143,389.697709272192,NA,NA,1,NA,NA,NA
"DCPS","Ketcham ES","1919 15th St  SE",325,"Phase I",2012,"ES",88288,"PARTIAL MOD",8328691,0,8336451,1,-76.983621162,38.86604236,8,"Kramer MS","Anacostia HS",309,0,265,37,0.857605177993528,0.119741100323625,0,285.721682847896,25626.7415384615,94.3354816056542,NA,NA,1,NA,NA,NA
"DCPS","Key ES","5001 Dana Pl  NW",364,"Full",2003,"ES",50000,"FULL MOD + ADD",13007488,0,13007488,1,-77.100527318,38.926801504,3,"Hardy MS","Wilson HS",383,28,12,27,0.031331592689295,0.0704960835509138,0.0731070496083551,130.548302872063,35734.8571428571,260.14976,NA,NA,1,NA,NA,NA
"DCPS","Kimball ES","3375 Minnesota Ave  SE",398,"Phase 0",NA,"ES",83392,"STABILIZED",0,17696000,17696000,1,-76.957572707,38.883082756,7,"Sousa MS","Anacostia HS",348,0,268,48,0.770114942528736,0.137931034482759,0,239.632183908046,0,0,NA,NA,1,NA,NA,NA
"DCPS","Lafayette ES","5701 Broad Branch Rd  NW",516,"Full",2015,"ES",113600,"FULL MOD + ADD",9939007,59373105,78650000,1,-77.068037122,38.96662722,4,"Deal MS","Wilson HS",697,21,19,47,0.0272596843615495,0.0674318507890961,0.03012912482066,162.984218077475,19261.6414728682,87.4912588028169,NA,NA,1,NA,NA,NA
"DCPS","Langdon ES","1900 Evarts St  NE",500,"Phase I",2015,"ES",101392,"PARTIAL MOD",19828246,0,20824380,1,-76.977081855,38.924703828,5,"McKinley MS","Dunbar HS",340,17,191,56,0.561764705882353,0.164705882352941,0.05,298.211764705882,39656.492,195.560261164589,NA,NA,1,NA,NA,NA
"DCPS","Langley ES","101 T Street NE",530,"Phase II",2011,"ES",1e+05,"PARTIAL MOD",10253618,0,10273670,1,-77.005890393,38.915162564,5,"McKinley MS","Dunbar HS",297,3,185,44,0.622895622895623,0.148148148148148,0.0101010101010101,336.700336700337,19346.4490566038,102.53618,NA,NA,1,NA,NA,NA
"DCPS","Leckie ES","4201 M L  King Ave  SW",480,"Phase I",2012,"ES",65000,"PARTIAL MOD",595860,0,595860,1,-77.012891913,38.828196449,8,"Hart MS","Ballou HS",478,8,226,53,0.472803347280335,0.110878661087866,0.0167364016736402,135.983263598326,1241.375,9.16707692307692,NA,NA,1,NA,NA,NA
"DCPS","Ludlow-Taylor ES","659 G St  NE",362,"Phase I",2013,"ES",66896,"PARTIAL MOD",11489803,-1026290,11762825,1,-76.996492494,38.898743808,6,"Stuart-Hobson MS","Eastern HS",340,3,109,31,0.320588235294118,0.0911764705882353,0.00882352941176471,196.752941176471,31739.7872928177,171.756203659412,NA,NA,1,NA,NA,NA
"DCPS","Mann ES","4430 Newark St NW",370,"Full",2015,"ES",60969,"FULL MOD + ADD",34565362,-5e+05,37197238,1,-77.087826194,38.934291971,3,"Hardy MS","Wilson HS",302,34,4,12,0.0132450331125828,0.0397350993377483,0.112582781456954,201.884105960265,93419.8972972973,566.933392379734,NA,NA,1,NA,NA,NA
