Agency,School,totalSQFT,Address,Enrolled,SqFtperStudent,SchoolCode,Longitude,Latitude,Ward,AtRiskPct,SQFTgroup,Enrollgroup,SQFTpergroup,FakeExpend,SchoolType
DCPS,Aiton Elementary School,54017,533 48th Pl  NE,263,205,202,-76.93370092,38.89700148,7,0.732793522,"(3.7e+04,6.3e+04]","[60,280]","(153,234]",18215753,ES
DCPS,Amidon-Bowen Elementary School,76734,401 Eye St  SW,347,221,203,-77.0181253,38.87951507,6,0.728070175,"(6.3e+04,9.44e+04]","(280,369]","(153,234]",1249008,ES
DCPS,Anacostia High School,251297,1601 16th St  SE,680,370,450,-76.98307725,38.87008373,8,0.790945406,"(9.44e+04,4.71e+06]","(515,3.77e+04]","(234,802]",12002461,HS
DCPS,Bancroft Elementary School,76848,1755 Newton St  NW,508,151,204,-77.04055344,38.93431802,1,0.320408163,"(6.3e+04,9.44e+04]","(369,515]","(100,153]",44115282,ES
DCPS,Barnard Elementary School,96848,430 Decatur St  NW,602,161,205,-77.01777708,38.94823061,4,0.442538594,"(9.44e+04,4.71e+06]","(515,3.77e+04]","(153,234]",38335943,ES
DCPS,Beers Elementary School,82748,3600 Alabama Ave  SE,438,189,206,-76.95560475,38.86434951,7,0.59478673,"(6.3e+04,9.44e+04]","(369,515]","(153,234]",98213056,ES
DCPS,Benjamin Banneker High School,135812,800 Euclid St  NW,449,302,402,-77.02397697,38.92383242,1,0.225581395,"(9.44e+04,4.71e+06]","(369,515]","(234,802]",8855544,HS
DCPS,Brent Elementary School,49645,301 North Carolina Ave  SE,371,134,212,-77.00145985,38.88480087,6,0.055710306,"(3.7e+04,6.3e+04]","(369,515]","(100,153]",51646565,ES
DCPS,Brightwood Education Campus,88080,1300 Nicholson St NW,645,137,213,-77.03068885,38.96053539,4,0.458536585,"(6.3e+04,9.44e+04]","(515,3.77e+04]","(100,153]",1263335,EC
DCPS,Brookland Education Campus @ Bunker Hill,66069,1401 Michigan Ave  NE,225,294,346,-76.98499564,38.94201213,5,0.48,"(6.3e+04,9.44e+04]","[60,280]","(234,802]",63407919,EC
DCPS,Browne Education Campus,190308,850 26th St  NE,353,539,404,-76.97066706,38.90259855,5,0.679083095,"(9.44e+04,4.71e+06]","(280,369]","(234,802]",92554119,EC
DCPS,Bruce-Monroe Elementary School @ Park View,138336,3560 Warder St  NW,467,296,296,-77.02118567,38.93441376,1,0.541935484,"(9.44e+04,4.71e+06]","(369,515]","(234,802]",4155637,ES
DCPS,Burroughs Education Campus,64088,1820 Monroe St  NE,297,216,220,-76.97845637,38.93350233,5,0.54,"(6.3e+04,9.44e+04]","(280,369]","(153,234]",89847027,EC
DCPS,Burrville Elementary School,89214,801 Division Ave  NE,360,248,221,-76.92445918,38.90056543,7,0.553672316,"(6.3e+04,9.44e+04]","(280,369]","(234,802]",12953781,ES
DCPS,C.W. Harris Elementary School,48500,301 53rd St  SE,291,167,247,-76.9261155,38.8835985,7,0.695167286,"(3.7e+04,6.3e+04]","(280,369]","(153,234]",64835653,ES
DCPS,Cleveland Elementary School,54207,1825 8th St  NW,309,175,224,-77.02270718,38.91514495,1,0.511551155,"(3.7e+04,6.3e+04]","(280,369]","(153,234]",32816947,ES
DCPS,Columbia Heights Education Campus,340260,3101 16th St  NW,1385,246,442,-77.03585831,38.92954443,1,0.421800948,"(9.44e+04,4.71e+06]","(515,3.77e+04]","(234,802]",52180183,EC
DCPS,Coolidge High School,316763,6315 5th St  NW,395,802,455,-77.01957825,38.96728422,4,0.581986143,"(9.44e+04,4.71e+06]","(369,515]","(234,802]",20346047,HS
DCPS,Deal Middle School,168649,3815 Fort Dr  NW,1313,128,405,-77.07519907,38.95289641,3,0.084935897,"(9.44e+04,4.71e+06]","(515,3.77e+04]","(100,153]",9983782,MS
DCPS,Drew Elementary School,62807,5600 Eads St  NE,201,312,231,-76.91992701,38.89599364,7,0.767857143,"(3.7e+04,6.3e+04]","[60,280]","(234,802]",34034794,ES
