"School_ID","Agency","Address","maxOccupancy","Level","totalSQFT","MajorExp9815","TotalAllotandPlan1621","LifetimeBudget","FeederMS","Total_Enrolled","Limited_English","At_Risk","SPED","AtRiskPer","SPEDPer","ESLPer","SqFtPerEnroll","SpentPerMaxOccupancy","SpentPerSqFt","Open_Now","ProjectPhase","YrComplete","ProjectType","FeederHS","longitude","latitude","Ward","School"
273,"DCPS","4430 Newark St NW",370,"ES",60969,34565362,-500000,37197238,"Hardy MS",302,34,4,12,0.0132450331125828,0.0397350993377483,0.112582781456954,202,93419.8972972973,566.933392379734,1,"Full",2015,"Full Modernization","Wilson HS",-77.087418,38.934026,3,"Mann Elementary"
284,"DCPS","2201 18th St. NW",470,"ES",162688,2970097,54503000,64904196,"Col Hts. Ed. Campus (6-8)",393,189,143,41,0.363867684478371,0.104325699745547,0.480916030534351,414,6319.35531914894,18.2563987509835,1,"Phase 0",2017,"Full Modernization","Cardozo HS (9-12)",-77.0416361,38.9183938,1,"Marie Reed Elementary"
274,"DCPS","1250 Constitution Ave NE",300,"ES",46800,6444395,5044000,12620745,"Eliot-Hine MS",366,2,48,23,0.131147540983607,0.0628415300546448,0.00546448087431694,128,21481.3166666667,137.700747863248,1,"Phase I",2011,"Partial Modernization","Eastern HS",-76.9886668,38.8921729,6,"Maury Elementary"
435,"DCPS","151 T St NE",340,"MS",62000,15000000,NA,15000000,"",202,5,119,31,0.589108910891089,0.153465346534653,0.0247524752475248,307,44117.6470588235,241.935483870968,1,"Full",2014,"Full Modernization","Dunbar HS",-77.004889,38.9145641,5,"McKinley Middle"
458,"DCPS","151 T St NE",1160,"HS",282200,77382544,0,77443210,"",645,6,239,12,0.370542635658915,0.0186046511627907,0.00930232558139535,438,66709.0896551724,274.211708008505,1,"Full",2004,"Full Modernization","City-Wide",-77.004889,38.9145641,5,"McKinley Technology High"
280,"DCPS","601 15th St  NE",550,"ES",76896,6391359,0,6391359,"Eliot-Hine MS",398,7,296,66,0.743718592964824,0.165829145728643,0.0175879396984925,193,11620.6527272727,83.1169241573034,1,"Full",2003,"Full Replacement","Eastern HS",-76.9829046,38.8979598,6,"Miner Elementary"
285,"DCPS","1565 Morris Rd SE",480,"ES",99696,27716993,0,27856881,"Kramer MS",395,0,348,65,0.881012658227848,0.164556962025316,0,252,57743.7354166667,278.01509589151,1,"Full",2012,"Full Modernization","Anacostia HS",-76.9828753,38.8564345,8,"Moten Elementary"
287,"DCPS","4810 36th St  NW",488,"ES",47696,748083,63156000,68294774,"Deal MS",620,56,18,23,0.0290322580645161,0.0370967741935484,0.0903225806451613,77,1532.95696721311,15.6843970144247,1,"Phase 0",2018,"Full Modernization","Wilson HS",-77.0704556,38.9527132,3,"Murch Elementary"
288,"DCPS","219 50th St  SE",400,"ES",83900,11521407,0,11570572,"Kelly Miller MS",384,6,295,45,0.768229166666667,0.1171875,0.015625,218,28803.5175,137.323087008343,1,"Phase I",2012,"Partial Modernization","Woodson HS",-76.9311143,38.8860027,7,"Nalle Elementary"
290,"DCPS","2725 10th St  NE",391,"ES",51496,24719301,0,24719301,"Brookland MS",289,11,182,44,0.629757785467128,0.152249134948097,0.0380622837370242,178,63220.7186700767,480.023710579462,1,"Full",2004,"Full Modernization","Dunbar HS",-76.9915985,38.9250297,5,"Noyes Elementary"
291,"DCPS","2200 Minnesota Ave  SE",392,"ES",75900,0,41995000,44995000,"Kramer MS",384,2,295,54,0.768229166666667,0.140625,0.00520833333333333,198,0,0,1,"Phase 0",NA,"Stabilized","Anacostia HS",-76.974441,38.8720446,8,"Orr Elementary"
292,"DCPS","2020 19th St. NW",324,"MS",59400,3803375,12236000,16039375,NA,314,NA,NA,NA,NA,NA,NA,NA,11738.8117283951,64.0298821548822,1,"Phase 0",NA,"Stabilized","Wilson HS",-77.0443928,38.9172561,1,"Oyster-Adams Bilingual School"
292,"DCPS","2801 Calvert St NW",350,"ES",47984,0,0,NA,NA,263,NA,NA,NA,NA,NA,NA,NA,0,0,1,"Full",2001,"Full Replacement","Wilson HS",-77.0572024,38.9235663,3,"Oyster-Adams Bilingual School"
294,"DCPS","4399 South Capitol Terr  SW",382,"ES",76896,32570942,0,5365870,"Hart MS",380,1,323,44,0.85,0.115789473684211,0.00263157894736842,202,85264.2460732984,423.571343112776,1,"Full",2004,"Full Replacement","Ballou HS",-77.0081965,38.8267436,8,"Patterson Elementary"
295,"DCPS","1445 C St SE",348,"ES",83792,22389213,27450,27815086,"Eliot-Hine MS",277,5,165,30,0.595667870036101,0.108303249097473,0.0180505415162455,302,64336.8189655172,267.199887817453,1,"Full",2016,"Full Modernization","Eastern HS",-76.984559,38.884501,6,"Payne Elementary"
301,"DCPS","425 C St  NE",228,"PK3-K",37800,7028816,0,7099258,"Stuart-Hobson MS",227,4,16,10,0.0704845814977974,0.0440528634361234,0.0176211453744493,167,30828.1403508772,185.947513227513,1,"Phase I",2013,"Partial Modernization","Eastern HS",-76.9998748,38.8928043,6,"Peabody Elementary"
478,"DCPS","704 26th Street NE",512,"HS",146976,66594065,0,NA,"",323,9,166,42,0.513931888544892,0.130030959752322,0.0278637770897833,455,130066.533203125,453.094825005443,1,"Full",2008,"Full Modernization","City-Wide",-76.9721088,38.9020565,5,"Phelps ACE High"
299,"DCPS","4601 Texas Ave  SE",448,"ES",69392,13846933,26191,14299544,"Sousa MS",428,24,354,54,0.827102803738318,0.126168224299065,0.0560747663551402,162,30908.3325892857,199.546532741526,1,"Phase I",2014,"Partial Modernization","Anacostia HS",-76.9396434,38.88707,7,"Plummer Elementary"
300,"DCPS","1350 Upshur St  NW",304,"ES",76848,25490976,2504026,44744174,"Col. Hts. EC (6-8)",446,250,202,57,0.452914798206278,0.12780269058296,0.560538116591928,172,83851.8947368421,331.706433479076,1,"Full",2016,"Full Modernization","Cardozo HS (9-12)",-77.031615,38.941504,4,"Powell Elementary"
NA,"DCPS","4600 Livingston Rd SE",NA,NA,348700,700,0,700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00200745626613135,0,NA,NA,"Stabilized",NA,-77.0031886,38.8239325,8,"PR Harris"
316,"DCPS","1650 30th St  SE",450,"ES",72476,21543183,0,8391223,"Sousa MS",360,3,228,49,0.633333333333333,0.136111111111111,0.00833333333333333,201,47873.74,297.245750317346,1,"Full",2002,"Full Replacement","Anacostia HS",-76.9638892,38.870144,7,"Randle Highlands Elementary"
302,"DCPS","915 Spring Rd  NW",615,"ES/MS",73600,0,19567000,19567000,"",581,245,308,96,0.530120481927711,0.165232358003442,0.421686746987952,127,0,0,1,"Phase 0",NA,"Stabilized","Roosevelt HS",-77.0261699,38.9359279,4,"Raymond Education Campus"
NA,"DCPS","1000 1st St NW",NA,NA,143700,1446215,0,1446215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.0641266527488,0,NA,NA,"Demolished",NA,-77.0121753,38.9025237,6,"RH Terrell"
NA,"DCPS","420 34th St NE",180,"SPED",77707,32133707,-2200000,35717175,NA,NA,NA,NA,NA,NA,NA,NA,NA,178520.594444444,413.52396823967,1,"Full",2015,"Full Modernization",NA,-76.9575223,38.8949506,7,"River Terrace Special Education Center"
459,"DCPS","4301 13th St NW",1030,"HS",331840,117015598,1887406,143557836,"",476,143,394,141,0.827731092436975,0.296218487394958,0.300420168067227,697,113607.376699029,352.62656099325,1,"Full",2016,"Full Modernization","Roosevelt HS",-77.0278294,38.9433952,4,"Roosevelt High"
456,"DCPS","4301 13th St NW",NA,"ADULT",NA,0,1887406,NA,"",802,11,0,49,0,0.0610972568578554,0.013715710723192,697,NA,NA,1,"Full",2015,NA,"City-Wide",-77.0278294,38.9433952,4,"Roosevelt STAY"
305,"DCPS","1730 R St  NW",176,"ES",22400,2604666,0,2612974,"Cardozo EC (6-8)",166,28,10,5,0.0602409638554217,0.0301204819277108,0.168674698795181,135,14799.2386363636,116.279732142857,1,"Phase I",2012,"Partial Modernization","Cardozo HS (9-12)",-77.039739,38.9123701,2,"Ross Elementary"
307,"DCPS","2400 Shannon Pl SE",430,"ES",86800,34338372,0,34338372,"Kramer MS",408,4,333,51,0.816176470588235,0.125,0.00980392156862745,213,79856.6790697674,395.6033640553,1,"Full",2009,"Full Modernization","Anacostia HS",-76.9936331,38.8628014,8,"Savoy Elementary"
409,"DCPS","2425 N St  NW",437,"ES/MS",95088,1314689,20178000,22278000,"",414,25,109,58,0.263285024154589,0.140096618357488,0.0603864734299517,230,3008.44164759725,13.8260243143194,1,"Phase 0",NA,"Stabilized","Cardozo HS (9-12)",-77.0521452,38.9076351,2,"Francis Stevens"
175,"DCPS","920 F STREET NE",450,"ES",59200,1365487,12028931,16383000,NA,126,1,70,37,0.555555555555556,0.293650793650794,0.00793650793650794,470,3034.41555555556,23.0656587837838,1,"Phase I",2005,"Partial Modernization","City-Wide",-76.9931808,38.8976365,6,"School-Within-School at Goding"
309,"DCPS","1503 10th St  NW",325,"ES",65000,4298925,0,4302057,"Cardozo EC (6-8)",295,125,148,32,0.501694915254237,0.108474576271186,0.423728813559322,220,13227.4615384615,66.1373076923077,1,"Phase I",2011,"Partial Modernization","Cardozo HS (9-12)",-77.0252248,38.9106173,6,"Seaton Elementary"
NA,"DCPS","925 Rhode Island Ave NW",NA,NA,230400,10000,0,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0434027777777778,0,NA,NA,"Stabilized",NA,-77.025191,38.9120219,6,"Shaw"
315,"DCPS","401 Mississippi Ave  SE",325,"ES",66192,8505311,0,8672620,"Hart MS",293,2,227,38,0.774744027303754,0.129692832764505,0.0068259385665529,226,26170.1876923077,128.494546168721,1,"Phase I",2012,"Partial Modernization","Ballou HS",-77.0000152,38.8359119,8,"Simon Elementary"
322,"DCPS","4400 Brooks St  NE",344,"ES",43000,152322,12679000,12831322,"Kelly Miller MS",275,6,203,30,0.738181818181818,0.109090909090909,0.0218181818181818,156,442.796511627907,3.54237209302326,1,"Phase 0",NA,"Stabilized","Woodson HS",-76.9384696,38.8936613,7,"Smothers Elementary"
427,"DCPS","3650 Ely Pl SE",636,"MS",136000,34545250,0,NA,NA,284,0,209,82,0.735915492957746,0.288732394366197,0,479,54316.4308176101,254.009191176471,1,"Full",2008,"Full Modernization","Anacostia HS",-76.953055,38.8840586,7,"Sousa Middle"
319,"DCPS","2701 Naylor Rd  SE",586,"ES",95000,23307939,2165644,36035000,"Kramer MS",578,0,502,94,0.868512110726644,0.162629757785467,0,164,39774.6399317406,245.346726315789,1,"Full",2016,"Full Modernization","Anacostia HS",-76.9686199,38.8592905,8,"Stanton Elementary"
321,"DCPS","4001 Calvert St  NW",320,"ES",65200,34319480,0,34319480,"Hardy MS",418,72,18,15,0.0430622009569378,0.0358851674641148,0.172248803827751,156,107248.375,526.372392638037,1,"Full",2010,"Full Modernization","Wilson HS",-77.078913,38.922673,3,"Stoddert Elementary"
428,"DCPS","410 E St  NE",450,"MS",115242,44653267,1190116,47666762,"",423,3,143,83,0.33806146572104,0.196217494089835,0.00709219858156028,272,99229.4822222222,387.473898405095,1,"Full",2015,"Full Modernization","Eastern HS",-77.0000602,38.8965658,6,"Stuart-Hobson Middle"
324,"DCPS","7010 Piney Branch Rd  NW",450,"ES/MS",118992,26979598,0,27036559,"",442,113,189,70,0.427601809954751,0.158371040723982,0.255656108597285,269,59954.6622222222,226.734553583434,1,"Full",2012,"Full Modernization","Coolidge HS",-77.022757,38.975217,4,"Takoma Education Campus"
325,"DCPS","650 Anacostia Ave NE",474,"ES",87600,7563320,0,7572071,"Kelly Miller MS",408,6,295,44,0.723039215686274,0.107843137254902,0.0147058823529412,215,15956.3713080169,86.3392694063927,1,"Phase I",2013,"Partial Modernization","Woodson HS",-76.952024,38.901224,7,"Thomas Elementary"
