Appendix 4: PCS Building Enrollment and Program Capacity Serving PK3-5th Grades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The following table shows the location of each school's building, its total enrollment, the number and share of enrollment that is just PK3-5, and programmatic capacities.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
School ID,School Name,"School Address, SY14-15",Ward,Grades Served,"Total Building 
Enrollment, SY14-151","PK3-5th Enrollment, SY14-15",% of Enrollment that is PK3-5," Programmatic Capacity, SY14-152 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Cedar Tree Academy PCS,701 Howard Road SE,Ward 8,PK3-KG,358,358,100%,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1103,Center City PCS – Brightwood,6008 Georgia Ave NW,Ward 4,PK4-8th,248,183,74%,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104,Center City PCS – Capitol Hill,1503 East Capitol St SE,Ward 6,PK4-8th,239,162,68%,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1105,Center City PCS – Congress Heights,220 HighView Pl SE,Ward 8,PK4-8th,257,186,72%,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1106,Center City PCS – Petworth,510 Webster St NW,Ward 4,PK4-8th,262,187,71%,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1107,Center City PCS – Shaw,711 N Street NW,Ward 6,PK4-8th,241,165,68%,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108,Center City PCS – Trinidad,1217 W  Virginia Ave NE,Ward 5,PK4-8th,236,157,67%,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Community Academy Amos I,1300 Allison St NW,Ward 4,PK3-5th,590,590,100%,590**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Community Academy Amos II,33 Riggs Road NE,Ward 5,PK3-1st,329,329,100%,329**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Community Academy Butler Global,1400 1st St NW,Ward 5,PK3-5th,523,523,100%,523**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Community Academy Online,1351 Nicholson St NW,Ward 4,KG-8th,123,80,65%,123**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3069,Creative Minds International PCS,3224 16th St NW,Ward 1,PK3-4th,181,181,100%,181**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,DC  Bilingual PCS,3029 14th street NW,Ward 1,PK3-5th,364,364,100%,364**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1420 Columbia Road NW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110/218,DC Prep PCS – Benning Elementary;  DC Prep PCS – Benning Middle,"100 41st Street, NE",Ward 7,PK3-5th,594,594,100%,754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,DC Prep PCS – Edgewood Elementary,707 Edgewood St NE,Ward 5,PK3-3rd,432,432,100%,440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,DC Prep PCS – Edgewood Middle,701 Edgewood St NE,Ward 5,4th-8th,294,145,49%,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3070,DC Scholars PCS,5601 East Capitol ST SE,Ward 7,PK3-5th,389,389,100%,700***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,Democracy Prep Congress Heights PCS (co-locating with Imagine SE PCS),3100 Martin Luther King Jr Ave SE,Ward 8,PK3-6th,620,567,91%,625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,Eagle Academy PCS – The Eagle Center at McGogney,3400 Wheeler Rd SE,Ward 8,PK3-3rd,774,774,100%,800***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1125,Eagle Academy PCS – New Jersey Avenue,1017 New Jersey Ave SE,Ward 6,PK3-3rd,146,146,100%,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Early Childhood Academy PCS,4025 9th St SE,Ward 8,PK3-3rd,259,259,100%,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4301 9th Street SE,,,,,100%,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,E.L. Haynes PCS – Middle School,3600 Georgia Ave NW,Ward 1,5th-8th,377,76,20%,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1206/1138,E.L. Haynes PCS – Elementary School; E.L. Haynes PCS – High School,"4501 Kansas Avenue, NW",Ward 4,"PK3-4th, 9th-12th",780,358,46%,795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Elsie Whitlow Stokes Community Freedom PCS,3700 Oakview Terrace NE,Ward 5,PK3-5th,350,350,100%,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
