School Names,,GSF (building),21CSF  sq ft,21CSF Comments about square footage,Major Project year completed,Current Replacement Value (CRV),2014 FCI (Incl Backlog),Foundations,Foundations Score,Basement Construction,Basement Score, Exterior Enclosure,Exterior Enc. Score, Roofing,Roofing Score,Interior Construction,Interior Const. Score,Stairs,Stairs Score,Interior Finishes,Interior Finishes Score,Conveying Systems,Conveying Systems Score,Plumbing,Plumbing Score,HVAC,HVAC Score,Fire Protection Systems,Fire Systems Score,Electrical Systems,Electrical Score,Site Improvements,Site Imp. Score,Site Civil/ Mechanical Utilities,Site Civil/Mech Utilities Score,Site Electrical Utilities,Electrical Utilities Score,General Requirements,Gen. Req. Score,Has A Carbon Monoxide Monitors,(DCPS FCI) FCI Base Year +1,(DCPS FCI) FCI Base Year +2,(DCPS FCI) FCI Base Year +3,(DCPS FCI) FCI Base Year +4,(DCPS FCI) FCI Base Year +5,(DCPS FCI) Base Year for FCI,(DCPS FCI) FCI Base Year,,Carbon Mon. Score,Converted Average,Standardized Facility Score,Row Labels,Sum of Expenditures through FY 2013,Sum of Expenditures in FY 2014,Sum of Expenditures in FY 2015,Total expenditures 1998-2015,Expenditures per 21CSF Gross sq ft ,Sum of Allotments  in FY 2016,Sum of Expenditures in FY 2016,Sum of FY 2017,Sum of FY 2018,Sum of FY 2019,Sum of FY 2020,Sum of FY 2021,Total FY16 Allotted and  FY17-21 Planned  Expenditures,Total Planned and Allotted FY16-21 per 21CSF GSF,Sum of Lifetime Budget
HYDE-ADDISON,Hyde Addison Elementary School," 	19,386 ","37,504","Hyde (21,329) + Addison (16,175 - check) should be about 37,500; modernization 2016-17  will add more space.",," 	6,457,089 ",2.23%,Good,1,Good,1,Fair,3,Fair,3,Good,1,Good,1,Good,1,Poor,5,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,No,1.40%,0.68%,0.93%,0.00%,1.24%,2013,0.00%,0.0082695593931487,5,1.71,5,HYDE-ADDISON,"$9,916,176","$8,036,784","$1,204,373","$19,157,333",$510.81,"$8,473,976",$0,"$13,811,000",$0,$0,$0,$0,"$22,284,976",$594.20,"$43,519,223"
Janney,Janney Elementary School," 	71,785 ","96,083","Original was 43,400; addition in 2011 added  new sq. ft. is 41,639; parking is an additional 18,704 sq. ft. from Architects Devereaux and Parnell 11-2-11.   May 2010 OPEFM report has the original 43,400 gsf plus the 40,800 new addition; . Deanna Newman says 85,039 for new school opening 2011; with classroom addition it's 96,083.",2011 main school opened; addition opened 2013," 	23,910,148 ",0.00%,Good,1,N/A,FALSE,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.25,3,JANNEY,"$30,222,418","$6,373,783","$847,124","$37,443,325",$389.70,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$37,949,758"
Jefferson,Jefferson Middle School," 	103,576 ","108,992",,," 	34,499,094 ",1.53%,Good,1,Good,1,Fair,3,Fair,3,Poor,5,Good,1,Fair,3,Poor,5,Fair,3,Poor,5,N/A,FALSE,Fair,3,Fair,3,Good,1,Good,1,Fair,3,No,0.16%,0.88%,0.02%,0.00%,2.32%,2013,0.00%,0.0136869566170359,5,2.88,5,JEFFERSON,$0,$0,$0,$0,$0.00,"$1,500,000",$0,"$1,500,000",$0,"$15,993,000","$17,000,000",$0,"$35,993,000",$330.24,"$35,993,000"
JO WILSON,J O Wilson Elementary School," 	97,825 ","98,896",,," 	32,583,551 ",0.97%,Good,1,Good,1,Good,1,Good,1,Good,1,Poor,5,Good,1,Unsatisfactory,FALSE,Good,1,Fair,3,N/A,FALSE,Good,1,Good,1,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.67,3,JO WILSON,"$4,264,356",$0,$0,"$4,264,356",$43.12,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$4,264,356"
Johnson,John Hayden Johnson Middle School," 	170,451 ","182,496",,," 	56,773,819 ",5.41%,Good,1,Poor,5,Poor,5,Poor,5,Good,1,Poor,5,Good,1,Poor,5,Fair,3,Good,1,N/A,FALSE,Poor,5,Poor,5,Good,1,Good,1,Good,1,No,,,,,,,,,5,3.13,3,JOHNSON,"$7,943,410","$229,198","$10,429,627","$18,602,234",$101.93,$0,"-$5,857",$0,$0,$0,$0,$0,"-$5,857",-$0.03,"$20,521,528"
Kelly Miller,Kelly Miller Middle School," 	120,265 ","114,992",Increase may reflect portables.,," 	40,057,866 ",0.02%,Good,1,N/A,FALSE,Good,1,Poor,5,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Fair,3,No,,,,,,,,,5,1.63,1,KELLY MILLER,"$10,614,880",$0,$0,"$10,614,880",$92.31,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$10,614,880"
Ketcham,Ketcham Elementary School," 	92,343 ","88,288",,," 	30,757,606 ",0.15%,Good,1,N/A,FALSE,Good,1,Good,1,Good,1,Good,1,Good,1,Fair,3,Good,1,Good,1,Good,1,Good,1,Fair,3,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.50,5,KETCHAM,"$8,328,373",$318,$0,"$8,328,691",$94.34,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$8,336,451"
Key,Key Elementary School," 	63,290 ","50,000",Increase may reflect portables.,," 	21,080,633 ",0.00%,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.24,4,KEY,"$13,007,488",$0,$0,"$13,007,488",$260.15,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$13,007,488"
Kimball,Kimball Elementary School," 	72,274 ","83,392",,," 	24,073,024 ",2.17%,Good,1,Good,1,Fair,3,Poor,5,Good,1,Poor,5,Poor,5,Poor,5,Poor,5,Poor,5,Poor,5,Poor,5,Fair,3,Good,1,Good,1,Poor,5,No,1.00%,4.40%,0.16%,0.04%,0.43%,2013,0.00%,0.0117016462466922,5,3.59,5,KIMBALL,$0,$0,$0,$0,$0.00,"$17,696,000",$0,$0,$0,$0,$0,$0,"$17,696,000",$212.20,"$17,696,000"
Kramer,Kramer Middle School," 	131,865 ","153,984","Does 153,984 include the Kramer maintenance annex for  at 19,800?",," 	43,921,594 ",0.11%,Good,1,Good,1,Fair,3,Fair,3,Good,1,Good,1,Good,1,Poor,5,Good,1,Good,1,N/A,FALSE,Good,1,Fair,3,Good,1,Good,1,Fair,3,No,0.00%,0.30%,1.22%,0.00%,1.52%,2013,0.52%,0.00107612669487302,5,2.00,5,KRAMER,"$1,154,024","$18,718,900","$11,078,853","$30,951,777",$201.01,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$35,059,047"
Lafayette,Lafayette Elementary School," 	106,574 ","113,600",Increase may reflect portables.,," 	35,497,668 ",1.79%,Fair,3,N/A,FALSE,Good,1,Good,1,N/A,FALSE,Poor,5,Good,1,Poor,5,Good,1,Fair,3,Poor,5,Good,1,Good,1,Good,1,Poor,5,Good,1,No,0.87%,0.00%,2.13%,0.03%,2.15%,2013,0.00%,0.00919340957088992,5,2.60,4,LAFAYETTE,$0,"$495,164","$9,443,842","$9,939,007",$87.49,"$56,144,000","$3,229,105",$0,$0,$0,$0,$0,"$59,373,105",$522.65,"$78,650,000"
Langdon,Langdon Education Campus," 	117,308 ","101,392",,," 	39,072,949 ",4.68%,Fair,3,N/A,FALSE,Fair,3,Poor,5,Fair,3,Fair,3,Fair,3,Good,1,Fair,3,Fair,3,Fair,3,Fair,3,Poor,5,Poor,5,Good,1,N/A,FALSE,No,Fair,0.00%,0.04%,0.03%,2.18%,2013,0.00%,0.0459231479183292,5,3.27,4,LANGDON,$0,"$9,811,112","$10,017,134","$19,828,246",$195.56,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$20,824,380"
Langley,Langley Education Campus," 	93,680 ","100,000",,," 	31,202,934 ",2.05%,Fair,3,N/A,FALSE,Good,1,Fair,3,Good,1,Fair,3,Good,1,Poor,5,Good,1,Fair,3,N/A,FALSE,Good,1,Good,1,Good,1,Fair,3,N/A,FALSE,Yes,1.00%,0.00%,0.00%,0.00%,4.00%,2013,0.00%,0.01,1,2.00,1,LANGLEY,"$10,253,618",$0,$0,"$10,253,618",$102.54,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$10,273,670"
LaSalle,LaSalle Backus Education Campus," 	55,011 ","63,000",,," 	18,323,064 ",4.65%,Good,1,Good,1,Poor,5,Poor,5,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Fair,3,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.82,0,LASALLE,"$13,644,477","$561,818",$0,"$14,206,295",$225.50,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$14,545,500"
Leckie,Leckie Elementary School," 	64,697 ","65,000",,," 	21,549,277 ",0.00%,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.24,2,LECKIE,"$595,860",$0,$0,"$595,860",$9.17,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$595,860"
LOGAN,,,"47,200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOGAN,$0,"$260,256","$715,611","$975,866",$20.68,$0,"$35,136",$0,$0,"$11,952,000",$0,$0,"$11,987,136",$253.96,"$14,637,256"
Ludlow-Taylor,Ludlow Taylor Elementary School," 	58,639 ","66,896",,," 	19,531,478 ",2.29%,Good,1,N/A,FALSE,Good,1,Poor,5,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,N/A,FALSE,Good,1,Fair,3,Poor,5,Good,1,Good,1,No,0.00%,0.00%,0.00%,0.00%,0.14%,2013,0.30%,0.022808955229242,5,1.93,0,LUDLOW-TAYLOR,"$10,764,854","$482,461","$242,487","$11,489,803",$171.76,"-$1,026,290",$0,$0,$0,$0,$0,$0,"-$1,026,290",-$15.34,"$11,762,825"
Luke Moore,Luke Moore High School," 	65,751 ","65,528",,2006," 	21,900,343 ",0.02%,Good,1,N/A,FALSE,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,N/A,FALSE,Good,1,Good,1,No,,,,,,,,,5,1.27,0,,,,,$0,$0.00,,,,,,,,$0,$0.00,
M.M. WASHINGTION,M.M. Washington HS (Closed),,"89,700",Now Senior Housing - not in DCPS inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M.M. WASHINGTION,"$18,696",$0,$0,"$18,696",$0.21,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$18,696"
MACFARLAND,MacFarland (Reopen Ward 4 MS),,"110,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MACFARLAND,"$874,564",$0,$0,"$874,564",$7.95,"$7,624,500",$0,"$25,487,500","$16,914,000",$0,$0,$0,"$50,026,000",$454.78,"$53,650,564"
Malcolm X,Malcolm X Elementary School @ Green," 	94,038 ","110,800","110,800 is for Malcolm X; Green we have as 77,700.",," 	31,322,177 ",0.60%,Good,1,N/A,FALSE,Good,1,Poor,5,Fair,3,Good,1,Good,1,Fair,3,Good,1,Good,1,Good,1,Good,1,Fair,3,Fair,3,Good,1,Good,1,No,0.57%,0.33%,0.00%,0.03%,0.69%,2013,0.00%,0.000329127824890169,5,2.00,2,MALCOLM X,$0,$0,$0,$0,$0.00,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,$0
MAMIE D. LEE SPED CNTR,Mamie D. Lee (Closed),,"45,800",Closed 2015; leased to charters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAMIE D. LEE SPED CNTR,"$150,000",$0,$0,"$150,000",$3.28,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$150,000"
Mann,Mann Elementary School," 	22,314 ","60,969","22,314 is before modernization ; new classroom wing and atrium are complete; gym/cafeteria ",2015," 	7,432,347 ",1.91%,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,N/A,FALSE,Good,1,Fair,3,N/A,FALSE,Good,1,Fair,3,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.53,2,MANN,"$8,124,813","$10,084,367","$16,356,182","$34,565,362",$566.93,"-$500,000",$0,$0,$0,$0,$0,$0,"-$500,000",-$8.20,"$37,197,238"
Marie Reed,Marie Reed Elementary School," 	155,117 ","162,688",,," 	51,666,370 ",0.00%,Fair,3,N/A,FALSE,Fair,3,Poor,5,Fair,3,Fair,3,Poor,5,Poor,5,Fair,3,Fair,3,N/A,FALSE,Good,1,Good,1,Fair,3,Good,1,Fair,3,No,0.00%,0.82%,1.63%,0.00%,0.27%,2013,0.13%,0,5,3.13,2,MARIE REED,"$2,249,898","$286,299","$433,901","$2,970,097",$18.26,"$34,453,000",$0,"$20,050,000",$0,$0,$0,$0,"$54,503,000",$335.02,"$64,904,196"
MARSHALL,Thurgood Marshal EC (Closed),,"103,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MARSHALL,$0,$0,$0,$0,$0.00,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,$0
Martin Luther King,King Elementary School," 	61,737 ","65,496",,," 	20,563,360 ",0.00%,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,N/A,FALSE,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.25,0,MARTIN LUTHER KING,"$3,800,074","$38,256","$280,426","$4,118,755",$62.89,$0,"$372,458",$0,$0,$0,$0,$0,"$372,458",$5.69,"$6,567,738"
Maury,Maury Elementary School," 	48,128 ","46,800",,," 	16,030,474 ",1.81%,Good,1,Good,1,Good,1,Fair,3,Good,1,Good,1,Good,1,N/A,FALSE,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.38,0,MAURY,"$5,641,979","$749,562","$52,854","$6,444,395",$137.70,"$5,044,000",$0,$0,$0,$0,$0,$0,"$5,044,000",$107.78,"$12,620,745"
MC TERRELL,MC Terrell (Closed),,"112,000",Now a charter school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MC TERRELL,"$1,706,121",$0,$0,"$1,706,121",$15.23,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$1,706,121"
McKinley,McKinley Technology High School," 	665,642 ","282,200","665,642 must simply be an error.  We've had Mckinly at 282,200 with the McKinley MS is 62,000 sq. ft.  ",McKinley HS opened 2005; Mckinley MS opened 2013," 	221,712,037 ",0.01%,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.24,1,MCKINLEY,"$74,506,934","$2,659,423","$216,187","$77,382,544",$274.21,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$77,443,210"
MINER,Miner Elementary School,,"76,896",,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MINER,"$6,391,359",$0,$0,"$6,391,359",$83.12,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$6,391,359"
MONTGOMERY/KIPP,Montgomery/KIPP (Montgomery -closed),,"73,700",Now KIPP   - which has added considerable sq. footage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MONTGOMERY/KIPP,"$6,934,511",$0,$0,"$6,934,511",$94.09,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$6,934,511"
Moten,Moten Elementary School," 	97,094 ","99,696",,2012," 	32,340,070 ",0.04%,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.24,5,MOTEN,"$26,739,968","$957,864","$19,160","$27,716,993",$278.02,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$27,856,881"
Murch,Murch Elementary School," 	53,673 ","47,696","53,673 must include some of the demountables; new school will be much larger",," 	17,877,403 ",0.02%,Fair,3,N/A,FALSE,Good,1,Good,1,Fair,3,Fair,3,Fair,3,N/A,FALSE,Fair,3,Good,1,N/A,FALSE,Good,1,Good,1,Fair,3,Fair,3,N/A,FALSE,No,0.00%,0.02%,0.23%,0.00%,1.51%,2013,0.00%,0.000213878941713214,5,2.38,5,MURCH,$0,$0,"$748,083","$748,083",$15.68,"$30,400,000",$0,"$32,756,000",$0,$0,$0,$0,"$63,156,000","$1,324.14","$68,294,774"
Nalle,Nalle Elementary School," 	65,418 ","83,900",,," 	21,789,427 ",2.17%,Good,1,Good,1,Good,1,Poor,5,Good,1,Good,1,Good,1,N/A,FALSE,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.50,2,NALLE,"$11,366,481","$154,926",$0,"$11,521,407",$137.32,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$11,570,572"
NEW ELEM #1,New Elem #1 ?,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEW ELEM #1,"$73,028",$0,$0,"$73,028",,$0,$0,$0,$0,$0,$0,$0,$0,,"$73,028"
Noyes,Noyes Education Campus," 	78,524 ","51,496",must include demountables,2004," 	26,154,774 ",1.17%,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,N/A,FALSE,Good,1,Good,1,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.25,4,NOYES,"$24,719,301",$0,$0,"$24,719,301",$480.02,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$24,719,301"
Orr,Orr Elementary School," 	62,947 ","75,900","We've used 75,888  for years; 2010 MFP has 75,900",," 	20,966,387 ",4.07%,Fair,3,N/A,FALSE,Poor,5,Poor,5,Poor,5,Poor,5,Good,1,Poor,5,Fair,3,Good,1,N/A,FALSE,Good,1,Fair,3,N/A,FALSE,Poor,5,Fair,3,No,3.98%,3.17%,1.33%,0.44%,0.11%,2013,0.00%,0.000916342916875583,5,3.57,3,ORR,$0,$0,$0,$0,$0.00,"$1,000,000",$0,"$26,359,000","$14,636,000",$0,$0,$0,"$41,995,000",$553.29,"$44,995,000"
Oyster-ADAMS,Oyster-Adams Bilingual School (Oyster)," 	61,865 ","47,984","Does 61,865 include the parking?",2001," 	20,605,994 ",0.00%,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.24,3,,,,,$0,$0.00,,,,,,,,$0,$0.00,
P.R.HARRIS,P.R. Harris EC (Closed),," 	348,700 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P.R.HARRIS,$700,$0,$0,$700,$0.00,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,$700
Patterson,Patterson Elementary School," 	81,741 ","76,896",,2004," 	27,226,292 ",0.01%,Fair,3,N/A,FALSE,Good,1,Fair,3,Fair,3,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Fair,3,Good,1,Good,1,No,,,,,,,,,5,1.75,3,PATTERSON,"$5,365,870",$0,$0,"$5,365,870",$69.78,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$5,365,870"
Payne,Payne Elementary School," 	61,493 ","83,792","No addition with the modernization; no portables, why this discrepancy?",," 	20,482,088 ",2.46%,Good,1,N/A,FALSE,Good,1,Good,1,Good,1,Fair,3,Fair,3,Poor,5,Fair,3,Fair,3,Fair,3,Fair,3,Good,1,Good,1,Good,1,N/A,FALSE,No,1.02%,0.75%,1.60%,0.88%,2.96%,2013,0.02%,0.0143741504125641,5,2.33,3,PAYNE,$0,"$14,553,326","$7,835,887","$22,389,213",$267.20,$0,"$27,450",$0,$0,$0,$0,$0,"$27,450",$0.33,"$27,815,086"
Peabody,Peabody Elementary School," 	35,391 ","37,800",,," 	11,788,034 ",1.67%,Good,1,Good,1,Fair,3,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Fair,3,Fair,3,Good,1,N/A,FALSE,No,1.02%,0.50%,0.73%,0.07%,0.07%,2013,0.00%,0.00651489876732866,5,1.63,3,PEABODY,"$6,685,699","$161,712","$181,405","$7,028,816",$185.95,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$7,099,258"
Phelps,"Phelps Architecture, Construction, and Engineering High School"," 	170,801 ","146,976","atrium addition, at modernization",2008," 	56,890,397 ",0.04%,N/A,FALSE,Fair,3,Good,1,Good,1,Good,1,Fair,3,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Fair,3,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.63,4,,,,,$0,$0.00,,,,,,,,$0,$0.00,
Plummer,Plummer Elementary School," 	66,032 ","69,392",,," 	21,993,939 ",1.27%,Good,1,N/A,FALSE,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Fair,3,Fair,3,Good,1,Fair,3,No,1.27%,1.60%,0.00%,0.00%,3.19%,2013,0.13%,0,5,1.63,4,PLUMMER,$0,"$12,638,785","$1,208,148","$13,846,933",$199.55,$0,"$26,191",$0,$0,$0,$0,$0,"$26,191",$0.38,"$14,299,544"
Powell,Powell Elementary School," 	62,970 ","76,848","76,848 will be the size of the new school when the additions are completed. 21CSF GSF is probably correct for 2016",," 	20,974,048 ",0.61%,Fair,3,Fair,3,Fair,3,Good,1,Fair,3,Fair,3,Good,1,Good,1,Good,1,Fair,3,N/A,FALSE,Fair,3,Good,1,Fair,3,Fair,3,Good,1,No,,,,,,,,,5,2.38,0,POWELL,"$6,796,246","$1,583,355","$17,111,375","$25,490,976",$331.71,"$2,500,000","$4,026",$0,$0,$0,$0,$0,"$2,504,026",$32.58,"$44,744,174"
Prospect,Goding (School Within School at Goding)," 	61,873 ","59,200",,," 	20,608,659 ",0.20%,Fair,3,N/A,FALSE,Good,1,Good,1,Fair,3,Fair,3,Good,1,Fair,3,Fair,3,Good,1,N/A,FALSE,Good,1,Fair,3,Good,1,Fair,3,Good,1,No,0.06%,0.02%,1.28%,0.26%,2.74%,2013,0.00%,0.00145035202106339,5,2.20,5,PROSPECT,$0,"$812,491","$552,996","$1,365,487",$23.07,"-$16,673","$107,604",$0,$0,"$11,938,000",$0,$0,"$12,028,931",$203.19,"$16,383,000"
RANDLE HIGHLAND,Randle Highland Elementary School,,"72,476",,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RANDLE HIGHLAND,"$8,391,223",$0,$0,"$8,391,223",$115.78,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$8,391,223"
Raymond,Raymond Education Campus," 	65,306 ","73,600",,," 	21,752,122 ",1.92%,Fair,3,Fair,3,Good,1,Fair,3,Poor,5,Fair,3,Fair,3,Good,1,Fair,3,Fair,3,N/A,FALSE,Poor,5,Poor,5,Fair,3,Fair,3,N/A,FALSE,No,0.18%,0.04%,0.70%,2.90%,0.22%,2013,0.00%,0.0174364051300616,5,3.27,0,RAYMOND,$0,$0,$0,$0,$0.00,$0,$0,$0,"$3,000,000","$16,567,000",$0,$0,"$19,567,000",$265.86,"$19,567,000"
RH TERRELL,RH Terrell MS (Closed),,"143,700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RH TERRELL,"$1,446,215",$0,$0,"$1,446,215",$10.06,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$1,446,215"
RIVER TERRACE,River Terrace Special Ed School,,"77,707",,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RIVER TERRACE,$0,"$8,983,285","$23,150,421","$32,133,707",$413.52,"-$2,200,000",$0,$0,$0,$0,$0,$0,"-$2,200,000",-$28.31,"$35,717,175"
RON BROWN,Ron Brown Middle School,,"156,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RON BROWN,$0,$0,$0,$0,$0.00,"$29,654,000",$0,"$14,943,000",$0,$0,$0,$0,"$44,597,000",$285.88,"$47,347,000"
Roosevelt,Roosevelt High School," 	332,294 ","331,840",did they reduce GSF of 1970s library and turn it into parking and day care?,2015," 	110,680,486 ",0.54%,Fair,3,Fair,3,Poor,5,Good,1,Fair,3,Fair,3,Fair,3,Poor,5,Good,1,Fair,3,N/A,FALSE,Good,1,Good,1,Fair,3,Fair,3,Good,1,No,0.00%,0.01%,0.00%,0.20%,2.19%,2013,0.79%,0.00544669638164052,5,2.75,0,ROOSEVELT,"$5,197,256","$24,711,419","$87,106,923","$117,015,598",$352.63,"$1,693,000","$194,406",$0,$0,$0,$0,$0,"$1,887,406",$5.69,"$143,557,836"
Ross,Ross Elementary School," 	20,270 ","22,400",,," 	6,751,532 ",0.00%,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,N/A,FALSE,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.25,0,ROSS,"$2,608,367","-$3,701",$0,"$2,604,666",$116.28,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$2,612,974"
RUDOLPH,Rudolph Elementary School (Closed),,"84,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUDOLPH,"$100,000",$0,$0,"$100,000",$1.18,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$100,000"
Savoy,Savoy Elementary School," 	73,483 ","86,800","Check. The entire school at 110,00, includes structured parking ( sq. ft?); 6,900 sq ft. library; 26,000 sq ft. addition in gym/auditorium shared with Thurgood Marshall Academy PCS;  DCPS in 2015 has the school listed at 86,800",," 	24,475,718 ",0.02%,Fair,3,N/A,FALSE,Good,1,Good,1,Fair,3,Fair,3,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Fair,3,Good,1,Good,1,No,,,,,,,,,5,1.75,0,SAVOY,"$21,059,646",$0,$0,"$21,059,646",$242.62,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$21,059,646"
School Without Walls,School Without Walls High School," 	60,334 ","74,000"," OPEFM report for April 2011 gives 74,000, not earlier 68,000. Other sources give 66,404. ",," 	20,096,049 ",0.00%,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,N/A,FALSE,Good,1,Good,1,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.25,0,,,,,$0,$0.00,,,,,,,,$0,$0.00,
Seaton,Seaton Elementary School," 	66,624 ","65,000",,," 	22,191,122 ",0.08%,Good,1,Good,1,Fair,3,Poor,5,Good,1,Good,1,Good,1,N/A,FALSE,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.63,0,SEATON,"$4,298,925",$0,$0,"$4,298,925",$66.14,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$4,302,057"
SHARP HEALTH,Sharpe Health Sp Ed (Closed),,"210,022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHARP HEALTH,"$2,089,951",$0,$0,"$2,089,951",$9.95,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$2,089,951"
