Sector,LEA ID,LEA Name,School ID,School Name,Total Enrolled,PK3,PK4,KG,01,02,03,04,05,06,07,08,09,10,11,12,Adult,Alternative,SPED Program,Limited English Proficient,Level 1,Level 2,Level 3,Level 4,At_Risk
Charters,137,Options PCS,169,Options PCS,268,0,0,0,0,0,0,0,0,0,22,41,57,36,66,46,0,0,0,0,4,29,30,105,218
Charters,138,Paul PCS,170,Paul Public Charter School - Middle School,376,0,0,0,0,0,0,0,0,84,109,183,0,0,0,0,0,0,0,24,6,30,9,2,160
Charters,140,Roots PCS,173,Roots PCS,95,17,19,15,12,9,5,9,9,0,0,0,0,0,0,0,0,0,0,2,6,1,0,0,39
Charters,142,School for Educational Evolution and Development (SEED) PCS,174,School for Educational Evolution and Development (SEED) PCS,336,0,0,0,0,0,0,0,0,99,80,61,36,23,24,13,0,0,0,0,18,31,7,1,172
DCPS,001,District of Columbia Public Schools,175,School Within School at Goding,248,32,44,47,45,41,39,0,0,0,0,0,0,0,0,0,0,0,0,1,23,6,2,13,17
Charters,152,Washington Math Science & Technology (WMST) PCS,178,Washington Math Science Tech PCS,335,0,0,0,0,0,0,0,0,0,0,0,98,74,87,76,0,0,0,3,24,36,9,3,222
Charters,108,Capital City PCS,182,Capital City Middle School,320,0,0,0,0,0,0,0,78,80,82,80,0,0,0,0,0,0,0,38,6,32,12,6,111
Charters,147,Tree of Life PCS,183,Tree of Life Community PCS,286,27,46,38,35,31,24,23,22,13,15,12,0,0,0,0,0,0,0,2,14,6,4,1,185
Charters,108,Capital City PCS,184,Capital City Lower PCS,322,33,41,46,50,50,50,52,0,0,0,0,0,0,0,0,0,0,0,95,1,7,3,4,72
Charters,120,Friendship PCS,186,Friendship PCS Woodson Collegiate Academy,883,0,0,0,0,0,0,0,0,0,0,0,249,224,207,203,0,0,0,0,42,67,33,23,517
Charters,175,Somerset PCS,187,Somerset PCS,240,0,0,0,0,0,0,0,0,44,79,70,47,0,0,0,0,0,0,0,5,19,10,10,160
Charters,123,Cedar Tree Academy Public Charter School,188,Cedar Tree Academy PCS,358,142,125,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,261
Charters,129,KIPP DC PCS,189,KIPP DC KEY Academy PCS,334,0,0,0,0,0,1,0,91,89,80,73,0,0,0,0,0,0,0,1,11,9,15,2,161
Charters,129,KIPP DC PCS,190,KIPP DC LEAD Academy,302,0,0,0,106,105,91,0,0,0,0,0,0,0,0,0,0,0,0,4,7,15,5,0,127
Charters,146,Thurgood Marshall Academy PCS,191,Thurgood Marshall Academy PCS,395,0,0,0,0,0,0,0,0,0,0,0,136,93,94,72,0,0,0,0,12,22,15,1,216
