Facility Name,Facility ID,ES Feeder,MS Feeder,HS Feeder,Address Line 1,Address Line 2,City,State,Zip Code,Year Built,Age,Building Sq Footage,Acres,Site Sq Footage,FacilityTypeCode,KeyID,Building Zoning,"School Additions, Modernization",General Comments,Enrollment Capacity,Percent Utilized 2008-2009,Grade Start,Grade End,Building Type,FacilityType
SEATON,309,,Cardozo EC (6-8),Cardozo EC (9-12),"1503 10th Street, N.W.",,WASHINGTON,DC,20001-3294,1969,41,65000,6.1,265845,ELEM,SEATX0732,R-4,N/A,,428,65,PreS,5th,Active School,SCHOOL
TUBMAN,328,,Col. Hts. EC (6-8),Cardozo EC (9-12),"3101 13th Street, N.W.",,WASHINGTON,DC,20010-2440,1970,40,66600,4.28,186489,ELEM,TUBMX0758,R-4,N/A,,607,80,PreS,5th,Active School,SCHOOL
COLUMBIA HEIGHTS EC (6-8) ,442,,,Cardozo HS (9-12),"3101 16th Street, NW",,Washington,DC,20010,2006,4,325270,2.02,88193,MS/SHS,BELLX0873,,"Bell 185,235 / Lincoln 139,983",,1400,90,6th,12th,Active School,Campus
BRIGHTWOOD,213,,,Coolidge HS,"1300 Nicholson Street, N.W.",,WASHINGTON,DC,20011-2899,1926,84,78000,3.37,146787,K8,BRIGX0601,R-5-A,"1993, 2005",Complete modernization and addition 2005,550,78,PreS,8th,Active School,SCHOOL
LASALLE-BACKUS,264,,,Coolidge HS,"501 Riggs Road, N.E.",,WASHINGTON,DC,20011-2598,1957,53,63000,1.41,61600,K8,LASAX0680,R-2,N/A,,406,85,PreS,8th,Active School,SCHOOL
TAKOMA,324,,,Coolidge HS,"7010 Piney Branch Road, N.W.",,WASHINGTON,DC,20012-2499,1976,34,119000,2.38,103841,K8,TAKOX0751,R-1-B,Full Mod. 2012,,467,65,PreS,8th,Active School,SCHOOL
WHITTIER,338,,,Coolidge HS,"6201 5th Street, N.W.",,WASHINGTON,DC,20011-1339,1926,84,66600,1.69,73569,K8,WHITX0772,R-1-B,"1931, 1939, 1961, 2012",,517,79,PreS,8th,Active School,SCHOOL
BROOKLAND MS,346,,,Dunbar HS,"1150 Michigan Avenue, N.E.",,WASHINGTON,DC,20017-1839,1974,36,98200,1.91,83243,CLOSED,BROOX0602,R-5-A,N/A,,0,0,PK-6,,Vacant,CLOSED
BUNKER HILL (formerly BROOKLAND AT BUNKER HILL),219,,Brookland MS,Dunbar HS,"1401 Michigan Avenue, N.E.",,WASHINGTON,DC,20017-2735,1940,70,69400,4.39,191147,ELEM,BUNKX0607,R-1-B,"1943, 1948, 1953, 1965",,507,76,PreS,5th,Active School,SCHOOL
BURROUGHS,220,,Brookland MS,Dunbar HS,"1820 Monroe Street, N.E.",,WASHINGTON,DC,20018-2736,1921,89,63900,5.45,237253,K8,BURRX0609,R-1-B,"1927, 1960, 2010", cafeteria addition 2010 CHECK,472,58,PreS,5th,Active School,SCHOOL
