,,,,,,,,,,,,,,,,,(DCPS ACR II) 2012 ACR A10: Foundations,(DCPS ACR II) 2012 ACR A20: Basement Construction,(DCPS ACR II) 2012 ACR B20: Exterior Enclosure,(DCPS ACR II) 2012 ACR B30: Roofing,(DCPS ACR II) 2012 ACR C10: Interior Construction,(DCPS ACR II) 2012 ACR C20: Stairs,(DCPS ACR II) 2012 ACR C30: Interior Finishes,(DCPS ACR II) 2012 ACR D10: Conveying Systems,(DCPS ACR II) 2012 ACR D20: Plumbing,(DCPS ACR II) 2012 ACR D30: HVAC,(DCPS ACR II) 2012 ACR D40: Fire Protection Systems,(DCPS ACR II) 2012 ACR D50: Electrical Systems,(DCPS ACR II) 2012 ACR F10: Special Construction,(DCPS ACR II) 2012 ACR F20: Selective Demolition,(DCPS ACR II) 2012 ACR G10: Site Preparation,(DCPS ACR II) 2012 ACR G20: Site Improvements,(DCPS ACR II) 2012 ACR G30: Site Civil/Mechanical Utilities,(DCPS ACR II) 2012 ACR G40: Site Electrical Utilities,(DCPS ACR II) 2012 ACR Z10: General Requirements,,,,,,,,,
,Agency,#,Name,GSF (building),Program #,School Name,School Address,"SY2014-15 Audited 
Enrollment ",SY2015-16 Permanent Capacity,SY2015-16 Portable Capacity,Total Capacity (Permanent + Portable),"SY2014-15
Utilization                  (Includes Portable Capacity)",2014-15 GSF per student,Plan to Address High/Low Utilization ,Current Replacement Value (CRV),2014 FCI (Incl Backlog),Foundations,Basement Construction, Exterior Enclosure, Roofing,Interior Construction,Stairs,Interior Finishes,Conveying Systems,Plumbing,HVAC,Fire Protection Systems,Electrical Systems,Special Construction,Selective Demolition,Site Preparation,Site Improvements,Site Civil/ Mechanical Utilities,Site Electrical Utilities,General Requirements,Has A Carbon Monoxide Monitors,(DCPS FCI) FCI Base Year +1,(DCPS FCI) FCI Base Year +2,(DCPS FCI) FCI Base Year +3,(DCPS FCI) FCI Base Year +4,(DCPS FCI) FCI Base Year +5,(DCPS FCI) Base Year for FCI,(DCPS FCI) FCI Base Year,
685ae624-7ccc-4530-b270-4101d724663b,DCPS,53,Lafayette Elementary School," 	106,574 ",261,Lafayette ES,5701 Broad Branch Rd  NW,697,516,220,736,95%,153,DCPS will monitor enrollment to ensure a satisfactory learning environment is provided for students. The anticipated post-construction capacity will also address high enrollment.," 	35,497,668 ",1.79%,Fair,N/A,Good,Good,N/A,Poor,Good,Poor,Good,Fair,Poor,Good,N/A,N/A,N/A,Good,Good,Poor,Good,No,0.87%,0.00%,2.13%,0.03%,2.15%,2013,0.00%,0.00919340957088992
2acae7c6-825e-41cf-9c3c-0879ff959ad5,DCPS,54,Langdon Education Campus," 	117,308 ",262,Langdon EC,1900 Evarts St  NE,342,500,0,500,68%,343,," 	39,072,949 ",4.68%,Fair,N/A,Fair,Poor,Fair,Fair,Fair,Good,Fair,Fair,Fair,Fair,N/A,N/A,N/A,Poor,Poor,Good,N/A,No,Fair,0.00%,0.04%,0.03%,2.18%,2013,0.00%,0.0459231479183292
d0fd6069-5151-4900-b41e-7a31681c490d,DCPS,55,Langley Education Campus," 	93,680 ",370,Langley ES,101 T Street NE,289,530,0,530,55%,324,," 	31,202,934 ",2.05%,Fair,N/A,Good,Fair,Good,Fair,Good,Poor,Good,Fair,N/A,Good,N/A,N/A,N/A,Good,Good,Fair,N/A,Yes,1.00%,0.00%,0.00%,0.00%,4.00%,2013,0.00%,0.01
80e8dc93-5178-47e3-8869-ee7d1250919a,DCPS,56,Langston ," 	16,366 ",,Langston ,,,,,,,,," 	7,425,900 ",8.61%,Fair,Poor,Poor,Poor,Poor,Poor,Poor,N/A,Poor,Poor,N/A,Fair,N/A,N/A,N/A,Poor,Poor,Poor,Good,No,,,,,,,,
095e0718-a178-4520-9b85-e220021dcc96,DCPS,57,LaSalle-Backus Education Campus," 	55,011 ",264,LaSalle-Backus EC,501 Riggs Road NE,350,400,0,400,88%,157,," 	18,323,064 ",4.65%,Good,Good,Poor,Poor,Good,Good,Good,Good,Good,Good,Good,Good,N/A,N/A,N/A,Fair,Good,Good,Good,No,,,,,,,,
d8013b99-f109-472e-8563-71b9b6136ea7,DCPS,58,Leckie Elementary School," 	64,697 ",266,Leckie ES,4201 M L  King Ave  SW,478,480,0,480,100%,135,DCPS will monitor enrollment to ensure a satisfactory learning environment is provided for students. ," 	21,549,277 ",0.00%,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,N/A,N/A,N/A,Good,Good,Good,Good,No,,,,,,,,
843d6743-6b82-42a0-ad09-01e7dd194c97,DCPS,59,Ludlow-Taylor Elementary School," 	58,639 ",271,Ludlow-Taylor ES,659 G St  NE,340,362,0,362,94%,172,," 	19,531,478 ",2.29%,Good,N/A,Good,Poor,Good,Good,Good,Good,Good,Good,N/A,Good,Fair,N/A,N/A,Fair,Poor,Good,Good,No,0.00%,0.00%,0.00%,0.00%,0.14%,2013,0.30%,0.022808955229242
945970cd-f99e-4a5c-9aa2-9122814ae19b,DCPS,60,Luke C. Moore High School," 	65,751 ",884,Luke Moore Alternative HS,1001 Monroe St NE,350,350,0,350,100%,188,DCPS will monitor enrollment to ensure a satisfactory learning environment is provided for students.  This is a school of choice that can control their enrollment through acceptance rates. ," 	21,900,343 ",0.02%,Good,N/A,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,N/A,N/A,N/A,Good,N/A,Good,Good,No,,,,,,,,
dd6a978a-e1d1-4242-a62f-13fb43ddccdb,DCPS,61,M.C. Terrell/McGogney Elementary School," 	95,710 ",M.C. Terrell/McGogney Elementary School,,,,,,,,,," 	31,879,087 ",1.38%,Fair,N/A,Fair,Poor,Fair,Good,Good,Fair,Fair,Good,N/A,Good,N/A,N/A,N/A,Fair,Good,Poor,Good,No,1.38%,0.37%,0.00%,0.12%,0.51%,2013,0.00%,0
c90360be-d431-461f-988b-318edb1099ee,DCPS,62,MacFarland Middle School," 	110,033 ",MacFarland Middle School,,,,,,,,,," 	36,649,792 ",0.16%,Good,Good,Fair,Poor,Good,Good,Fair,Good,Poor,Fair,Fair,Poor,N/A,N/A,N/A,Poor,Good,Good,Good,No,,,,,,,,
0dd67a51-202d-41b6-a6f5-e224a472c9a2,DCPS,63,Malcolm X Elementary School," 	94,038 ",308,Malcolm X ES @ Green,1500 Mississippi Ave. SE Washington,244,248,0,248,98%,385,DCPS will monitor enrollment to ensure a satisfactory learning environment is provided for students. ," 	31,322,177 ",0.60%,Good,N/A,Good,Poor,Fair,Good,Good,Fair,Good,Good,Good,Good,N/A,N/A,N/A,Fair,Fair,Good,Good,No,0.57%,0.33%,0.00%,0.03%,0.69%,2013,0.00%,0.000329127824890169
43d2b6d9-0af4-4c0b-8291-2258ac8e0814,DCPS,64,Mamie D. Lee School," 	46,009 ",Mamie D. Lee School,,,,,,,,,," 	15,324,678 ",0.13%,Good,N/A,Fair,Fair,Fair,Fair,Good,N/A,Good,Good,N/A,Poor,N/A,N/A,N/A,Good,Fair,Fair,Poor,No,0.08%,4.13%,1.64%,0.00%,0.82%,2013,0.00%,0.000513689106148459
add5899e-3ea2-44ff-be16-63aad8ba4378,DCPS,65,Mann Elementary School," 	22,314 ",273,Mann ES,4430 Newark St NW,302,370, ,370,82%,74,," 	7,432,347 ",1.91%,Good,Good,Good,Good,Good,Good,Good,N/A,Good,Fair,N/A,Good,N/A,N/A,N/A,Fair,Good,Good,Good,No,,,,,,,,
88388e10-f005-4c4c-b37b-ab552a0d602a,DCPS,66,Marie Reed Elementary School," 	155,117 ",284,Marie Reed ES,2201 18th St. NW,393,470,0,470,84%,395,," 	51,666,370 ",0.00%,Fair,N/A,Fair,Poor,Fair,Fair,Poor,Poor,Fair,Fair,N/A,Good,N/A,N/A,N/A,Good,Fair,Good,Fair,No,0.00%,0.82%,1.63%,0.00%,0.27%,2013,0.13%,0
6421de88-e7ac-46de-94cc-3b87bd23be92,DCPS,67,Marshall Elementary School," 	150,079 ",,Marshall ES,,,,,,,,," 	49,988,313 ",4.35%,Fair,Fair,Poor,Fair,Fair,Poor,Poor,Poor,Fair,Fair,Good,Poor,N/A,N/A,N/A,Fair,Fair,Poor,Good,No,3.74%,1.49%,0.39%,0.09%,0.07%,2013,0.00%,0.00611932729239763
7df4acb8-77e8-4412-bd08-59f4871f1a0d,DCPS,68,Maury Elementary School," 	48,128 ",274,Maury ES,1250 Constitution Ave NE,367,300,88,388,95%,131,DCPS will monitor enrollment to ensure a satisfactory learning environment is provided for students. ," 	16,030,474 ",1.81%,Good,Good,Good,Fair,Good,Good,Good,N/A,Good,Good,Good,Good,N/A,N/A,N/A,Good,Good,Good,Good,No,,,,,,,,
7480558d-4e86-476d-8d5b-19f041c51e5a,DCPS,69,McKinley Technology High School," 	665,642 ",435/458,McKinley (MS & HS),151 T St NE,850,1160,0,1160,73%,783,," 	221,712,037 ",0.01%,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,N/A,N/A,N/A,Good,Good,Good,Good,No,,,,,,,,
79c705d3-b131-4d59-a40d-1fc912b46059,DCPS,70,Meyer Elementary," 	62,200 ",,Meyer,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,,,,,,,,
2d87342c-1640-48d0-8f89-4c7bb080b093,DCPS,71,Moten Elementary School," 	97,094 ",285,Moten ES,1565 Morris Rd SE,398,480,0,480,83%,244,," 	32,340,070 ",0.04%,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,N/A,N/A,N/A,Good,Good,Good,Good,No,,,,,,,,
04e38fd9-f5ba-4e50-b291-2303b6268e1f,DCPS,72,Murch Elementary School," 	53,673 ",287,Murch ES,4810 36th St  NW,620,488,286,774,80%,87,," 	17,877,403 ",0.02%,Fair,N/A,Good,Good,Fair,Fair,Fair,N/A,Fair,Good,N/A,Good,N/A,N/A,N/A,Good,Fair,Fair,N/A,No,0.00%,0.02%,0.23%,0.00%,1.51%,2013,0.00%,0.000213878941713214
7cc2c13c-e643-4543-bdbe-ae8c70219693,DCPS,73,Nalle Elementary School," 	65,418 ",288,Nalle ES,219 50th St  SE,384,400,0,400,96%,170,DCPS will monitor enrollment to ensure a satisfactory learning environment is provided for students. ," 	21,789,427 ",2.17%,Good,Good,Good,Poor,Good,Good,Good,N/A,Good,Good,Good,Good,N/A,N/A,N/A,Good,Good,Good,Good,No,,,,,,,,
4f776922-1f67-4abb-98c5-bdc826133ec6,DCPS,74,Noyes Education Campus," 	78,524 ",290,Noyes EC,2725 10th St  NE,290,391,0,391,74%,271,," 	26,154,774 ",1.17%,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,N/A,Good,N/A,N/A,N/A,Good,Good,Good,Good,No,,,,,,,,
b37b107a-06bc-4f7d-820b-79f5799b5af6,DCPS,75,Old Miner," 	18,123 ",280,Miner ES,601 15th St  NE,398,550,0,550,72%,46,," 	5,928,066 ",5.55%,Good,Good,Fair,Good,Good,Good,Good,Good,Good,Good,Good,Fair,N/A,N/A,N/A,Good,Good,Good,Good,No,,,,,,,,
beef0934-cbfc-4b4b-82c6-ef6164ddc617,DCPS,76,Old Randle," 	19,645 ",316,Randle Highlands ES,1650 30th St  SE,362,450,0,450,80%,54,," 	6,684,309 ",3.66%,Good,Good,Good,Good,Good,Fair,Good,Good,Good,Good,Good,Fair,N/A,N/A,N/A,Good,Good,Good,Good,No,,,,,,,,
0ba0f0d3-9956-44f5-beb4-f96d53882b92,DCPS,77,Orr Elementary School," 	62,947 ",291,Orr ES,2200 Minnesota Ave  SE,384,392,0,392,98%,164,DCPS will monitor enrollment to ensure a satisfactory learning environment is provided for students. The anticipated post-construction capacity will also address high enrollment.," 	20,966,387 ",4.07%,Fair,N/A,Poor,Poor,Poor,Poor,Good,Poor,Fair,Good,N/A,Good,N/A,N/A,N/A,Fair,N/A,Poor,Fair,No,3.98%,3.17%,1.33%,0.44%,0.11%,2013,0.00%,0.000916342916875583
4a39d811-811f-4fdc-9354-553a6ac476ab,DCPS,78,Oyster-Adams Bilingual School (Adams)," 	55,563 ",201,Oyster-Adams Bilingual (Adams),2020 19th St. NW,314,324,0,324,97%,177,DCPS will monitor enrollment to ensure a satisfactory learning environment is provided for students. ," 	18,506,924 ",1.47%,Fair,Fair,Fair,Good,Poor,Poor,Fair,Good,Good,Fair,N/A,Good,N/A,N/A,N/A,Fair,Fair,Fair,Good,No,0.76%,0.20%,1.23%,0.00%,0.45%,2013,0.31%,0.00717481196297167
c50aeacf-da99-4f03-9371-a5cdc87f47bc,DCPS,79,Oyster-Adams Bilingual School (Oyster)," 	61,865 ",292,Oyster-Adams Bilingual (Oyster),2801 Calvert St NW,336,350,0,350,96%,184,DCPS will monitor enrollment to ensure a satisfactory learning environment is provided for students. ," 	20,605,994 ",0.00%,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,N/A,N/A,N/A,Good,Good,Good,Good,No,,,,,,,,
ee52d15f-f6e7-4690-9691-bead5a88e1c2,DCPS,80,Patterson Elementary School," 	81,741 ",294,Patterson ES,4399 South Capitol Terr  SW,383,382,0,382,100%,213,DCPS will monitor enrollment to ensure a satisfactory learning environment is provided for students. ," 	27,226,292 ",0.01%,Fair,N/A,Good,Fair,Fair,Good,Good,Good,Good,Good,Good,Good,N/A,N/A,N/A,Good,Fair,Good,Good,No,,,,,,,,
aa58776b-e8e5-43db-811a-04894881802f,DCPS,81,Paul Robeson School," 	12,378 ",,,,,,,,,,, 	-00 ,0.00%,Good,N/A,Good,Poor,Good,Good,Good,N/A,Good,Good,Good,Fair,N/A,N/A,N/A,Poor,Good,Good,Fair,No,,,,,,,,
36f6732e-856b-4cdb-b85e-d9c17e9243eb,DCPS,82,Payne Elementary School," 	61,493 ",295,Payne ES,1445 C St SE,277,348,0,348,80%,222,," 	20,482,088 ",2.46%,Good,N/A,Good,Good,Good,Fair,Fair,Poor,Fair,Fair,Fair,Fair,N/A,N/A,N/A,Good,Good,Good,N/A,No,1.02%,0.75%,1.60%,0.88%,2.96%,2013,0.02%,0.0143741504125641
d25b9d99-8f4e-4376-b243-1bf104ef5f9b,DCPS,83,Peabody Elementary School," 	35,391 ",301,Peabody,425 C St  NE,227,228,0,228,100%,156,DCPS will monitor enrollment to ensure a satisfactory learning environment is provided for students. ," 	11,788,034 ",1.67%,Good,Good,Fair,Good,Good,Good,Good,Good,Good,Good,Good,Good,N/A,N/A,N/A,Fair,Fair,Good,N/A,No,1.02%,0.50%,0.73%,0.07%,0.07%,2013,0.00%,0.00651489876732866
09135db1-b18b-42d6-afe4-5a47dbb2a1d4,DCPS,84,"Phelps Architecture, Construction, and Engineering High School"," 	170,801 ",478,Phelps ACE HS,704 26th Street NE,323,512,0,512,63%,529,," 	56,890,397 ",0.04%,N/A,Fair,Good,Good,Good,Fair,Good,Good,Good,Good,Good,Good,N/A,N/A,N/A,Fair,Good,Good,Good,No,,,,,,,,
aa921d94-ce16-4b6d-bafa-69afe3d343e3,DCPS,85,Plummer Elementary School," 	66,032 ",299,Plummer ES,4601 Texas Ave  SE,429,448,0,448,96%,154,DCPS will monitor enrollment to ensure a satisfactory learning environment is provided for students. ," 	21,993,939 ",1.27%,Good,N/A,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,N/A,N/A,N/A,Fair,Fair,Good,Fair,No,1.27%,1.60%,0.00%,0.00%,3.19%,2013,0.13%,0
e4f9651b-c79d-41eb-bd51-1b95efd6309f,DCPS,86,Powell Elementary School," 	62,970 ",300,Powell ES,1350 Upshur St  NW,447,304,132,436,103%,141,The building is currently under construction and the updated capacity will address the high enrollment. ," 	20,974,048 ",0.61%,Fair,Fair,Fair,Good,Fair,Fair,Good,Good,Good,Fair,N/A,Fair,N/A,N/A,N/A,Good,Fair,Fair,Good,No,,,,,,,,
a25985cc-d2ae-4e40-91e7-ec54a784504b,DCPS,87,Prospect Learning Center," 	61,873 ",175,School-Within-School @ Goding,920 F STREET NE,248,450,0,450,55%,249,," 	20,608,659 ",0.20%,Fair,N/A,Good,Good,Fair,Fair,Good,Fair,Fair,Good,N/A,Good,N/A,N/A,N/A,Fair,Good,Fair,Good,No,0.06%,0.02%,1.28%,0.26%,2.74%,2013,0.00%,0.00145035202106339
b16f9814-6ccc-4c6b-b62d-2631b2c3931a,DCPS,88,Raymond Education Campus," 	65,306 ",302,Raymond EC,915 Spring Rd  NW,581,615,0,615,94%,112,," 	21,752,122 ",1.92%,Fair,Fair,Good,Fair,Poor,Fair,Fair,Good,Fair,Fair,N/A,Poor,N/A,N/A,N/A,Poor,Fair,Fair,N/A,No,0.18%,0.04%,0.70%,2.90%,0.22%,2013,0.00%,0.0174364051300616
9ca71c83-7903-4808-b98a-d0b3de6ba7ef,DCPS,89,Ron Brown Middle School," 	175,410 ",,Ron Brown Middle School,,,,,,,,," 	58,425,563 ",3.70%,Good,N/A,Poor,Poor,Good,Fair,Fair,Good,Fair,Fair,N/A,Fair,N/A,N/A,N/A,Fair,Fair,Good,Good,No,,,,,,,,
4d852ebc-ba63-49fa-bc3e-2b5ee6b9e4bc,DCPS,90,Roosevelt High School," 	332,294 ",459/456,Roosevelt HS (includes STAY Program),4301 13th St NW,1284,1030,0,1030,125%,259,"The reported enrollment includes both the Roosevelt HS and Roosevelt Stay enrollments.  The large majority of the Stay students attend the school in the evening, so not all 1283 students are in the building at the same time.  "," 	110,680,486 ",0.54%,Fair,Fair,Poor,Good,Fair,Fair,Fair,Poor,Good,Fair,N/A,Good,N/A,N/A,N/A,Good,Fair,Fair,Good,No,0.00%,0.01%,0.00%,0.20%,2.19%,2013,0.79%,0.00544669638164052
663e95f7-7bb6-4bf0-bcfe-c6df0ea2520b,DCPS,91,Ross Elementary School," 	20,270 ",305,Ross ES,1730 R St  NW,166,176,0,176,94%,122,," 	6,751,532 ",0.00%,Good,Good,Good,Good,Good,Good,Good,N/A,Good,Good,Good,Good,N/A,N/A,N/A,Good,Good,Good,Good,No,,,,,,,,
51a357a7-9f98-420c-8d60-466211002980,DCPS,92,Savoy Elementary School," 	73,483 ",307,Savoy ES,2400 Shannon Pl SE,408,430,0,430,95%,180,DCPS will monitor enrollment to ensure a satisfactory learning environment is provided for students. ," 	24,475,718 ",0.02%,Fair,N/A,Good,Good,Fair,Fair,Good,Good,Good,Good,Good,Good,N/A,N/A,N/A,Good,Fair,Good,Good,No,,,,,,,,
b9baa061-2d02-4ade-853f-6e490201437a,DCPS,93,School Without Walls High School," 	60,334 ",466,School Without Walls HS,2130 G St NW,590,520,0,520,113%,102,This is a School of Choice that can control their enrollment through acceptance rates.  DCPS will monitor enrollment to ensure a satisfactory learning environment is provided for students. ," 	20,096,049 ",0.00%,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,N/A,Good,N/A,N/A,N/A,Good,Good,Good,Good,No,,,,,,,,
e5f9fa34-43c9-4b83-8a75-531d9d979bcb,DCPS,94,Seaton Elementary School," 	66,624 ",309,Seaton ES,1503 10th St  NW,295,325,0,325,91%,226,," 	22,191,122 ",0.08%,Good,Good,Fair,Poor,Good,Good,Good,N/A,Good,Good,Good,Good,N/A,N/A,N/A,Good,Good,Good,Good,No,,,,,,,,
65911db0-7ba1-4b95-9d94-581f4a3b5cd3,DCPS,95,Shaed," 	64,242 ",,Shaed,,,,,,,,," 	21,397,725 ",1.96%,Good,Good,Poor,Poor,Fair,Fair,Fair,Poor,Poor,Good,N/A,Poor,N/A,N/A,N/A,Poor,Fair,Fair,Good,No,,,,,,,,
05b95f38-57e5-471c-ae0a-431e03001d87,DCPS,96,Sharpe Health School," 	82,374 ",312/265,Sharpe Health & Mamie D. Lee,420 34th St NW,116,120,0,120,97%,710,The new building will address utilization concerns and is designed to accommodate students from both programs.," 	27,437,132 ",0.32%,Fair,Fair,Poor,Good,Fair,N/A,Fair,N/A,Good,Good,N/A,Good,N/A,N/A,N/A,Fair,Fair,Fair,Fair,No,0.00%,2.10%,2.29%,0.02%,0.87%,2013,0.00%,0.00322650342091587
4f0a9c98-6405-40ab-b2f2-86a55663ae5e,DCPS,97,Shaw Middle School @ Garnet-Patterson," 	83,921 ",,Shaw Middle School @ Garnet-Patterson,,,,,,,,," 	27,952,407 ",0.79%,N/A,N/A,Good,Good,Good,Poor,Good,Good,Good,Fair,Good,Poor,N/A,N/A,N/A,Fair,Good,Fair,Good,No,0.00%,0.10%,0.47%,0.47%,2.15%,2013,2.98%,0.00789994945794771
99df790d-61e6-4aea-a5ff-fd67431eb9c9,DCPS,98,Shepherd Elementary School," 	47,363 ",313,Shepherd ES,7800 14th St  NW,318,400,0,400,80%,149,," 	15,775,668 ",0.89%,Good,Good,Good,Good,Good,Good,Good,Poor,Good,Good,N/A,Good,N/A,N/A,N/A,Good,Good,Good,Good,No,0.25%,2.65%,1.12%,0.46%,1.22%,2013,1.40%,0.00638736817639071
4d11b85b-33f2-4a69-9d30-a74f3ac9ccfd,DCPS,99,Simon Elementary School," 	59,891 ",315,Simon ES,401 Mississippi Ave  SE,293,325,0,325,90%,204,," 	19,948,494 ",3.37%,Good,Good,Poor,Fair,Good,Good,Good,Good,Good,Good,Poor,Good,N/A,N/A,N/A,Good,Good,Good,Good,No,,,,,,,,
fce758d4-5624-4ab5-8e6a-02c7ff33b07c,DCPS,100,Smothers Elementary School," 	40,746 ",322,Smothers ES,4400 Brooks St  NE,275,344,0,344,80%,148,," 	13,571,678 ",1.62%,Fair,N/A,Good,Poor,Fair,Poor,Good,Good,Good,Fair,N/A,Good,N/A,N/A,N/A,Good,Fair,Fair,N/A,No,1.54%,0.00%,0.04%,0.00%,1.30%,2013,0.05%,0.000843441781473254
7f68a2cc-7876-42aa-9128-fc5e68e73da2,DCPS,101,Sousa Middle School," 	114,073 ",427,Sousa MS,3650 Ely Pl SE,284,636,0,636,45%,402,"During the modernization of the building, reducing the size of the building was considered. However, because of the historical significance of the building, structural changes were not made. DCPS will consider options for partners to potentially utilize a portion of the building and will explore different academic program offerings to increase enrollment."," 	37,995,435 ",1.99%,Good,Good,Good,Poor,Good,Good,Good,Good,Good,Good,Good,Good,N/A,N/A,N/A,Good,Good,Good,Fair,No,,,,,,,,
b747a396-3ea0-477c-8c18-9135bd780a6a,DCPS,102,Spingarn Senior High School," 	225,000 ",,Spingarn Senior High School,,,,,,,,," 	74,943,000 ",1.92%,Good,Fair,Poor,Fair,Good,Good,Fair,Poor,Fair,Fair,N/A,Poor,Poor,N/A,N/A,Fair,Good,Good,Good,No,,,,,,,,
8c76161a-a241-4cd3-8a17-119614c54de1,DCPS,103,Stanton Elementary School," 	55,342 ",319,Stanton ES,2701 Naylor Rd  SE,578,586,0,586,99%,96,The building is currently under construction and the updated capacity will address the high enrollment. ," 	18,433,313 ",8.07%,Good,Good,Poor,Poor,Good,Good,Good,Poor,Good,Good,Good,Good,N/A,N/A,N/A,Good,Good,Good,N/A,No,,,,,,,,
6265b2d3-ccf1-4572-b63d-2237c007d16d,DCPS,104,Stoddert Elementary School," 	86,625 ",321,Stoddert ES,4001 Calvert St  NW,418,320,154,474,88%,207,," 	28,853,055 ",0.01%,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,N/A,N/A,N/A,Good,Good,Good,Good,No,,,,,,,,
714b9f1b-4c21-4082-884d-ea28ec10ca52,DCPS,105,Stuart-Hobson Middle School," 	110,837 ",428,Stuart-Hobson,410 E St  NE,423,450,0,450,94%,262,," 	36,917,588 ",0.31%,Good,Good,Poor,Poor,Good,Good,Fair,Good,Good,Good,N/A,Good,N/A,N/A,N/A,Fair,Good,Good,Good,No,,,,,,,,
27eb243e-e769-4474-9637-c0b6ea27dcc4,DCPS,106,Takoma Education Campus," 	119,436 ",324,Takoma EC,7010 Piney Branch Rd  NW,443,450,0,450,98%,270,DCPS will monitor enrollment to ensure a satisfactory learning environment is provided for students. ," 	39,781,743 ",0.00%,Good,N/A,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,N/A,N/A,N/A,Good,N/A,Good,Good,No,,,,,,,,
bf4428d0-8fc0-499c-88ca-32e64e64d4b2,DCPS,107,Thomas Elementary School," 	74,826 ",325,Thomas ES,650 Anacostia Ave NE,408,474,0,474,86%,183,," 	24,923,044 ",0.57%,Good,Good,Fair,Fair,Good,Good,Good,N/A,Fair,Fair,N/A,Good,N/A,N/A,N/A,Good,Good,Good,Good,No,,,,,,,,
c5d8beb3-1711-40e6-857f-fa3207c79a91,DCPS,108,Thomson Elementary School," 	135,050 ",326,Thomson ES,1200 L St  NW,272,320,0,320,85%,497,," 	44,982,454 ",0.00%,Good,N/A,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,N/A,N/A,N/A,Good,Good,Poor,Good,No,,,,,,,,
36a28bcb-e3d9-4000-a361-733254d4a8d1,DCPS,109,Truesdell Education Campus," 	78,964 ",327,Truesdell EC,800 Ingraham St  NW,526,542,0,542,97%,150,"DCPS will monitor enrollment to ensure a satisfactory learning environment is provided for students.  Because of recent enrollment trends, DCPS anticipates putting demountable classrooms on the site to address the anticipated high enrollment."," 	26,301,329 ",0.00%,Good,Good,Good,Good,Good,Good,Good,N/A,Good,Good,Good,Good,N/A,N/A,N/A,Good,Good,Good,Poor,No,,,,,,,,
d78e36f7-d3ca-4b0a-a6f6-282ffb520582,DCPS,110,Tubman Elementary School," 	83,462 ",328,Tubman ES,3101 13th St  NW,502,500,0,500,100%,166,DCPS will monitor enrollment to ensure a satisfactory learning environment is provided for students. ," 	22,183,128 ",0.43%,Good,Good,Good,Good,Good,Good,Good,N/A,Good,Good,Good,Good,N/A,N/A,N/A,Fair,Good,Good,Fair,No,,,,,,,,
bc67b070-4034-4fb7-bf9d-f8e6ab6b9693,DCPS,111,Turner Elementary School," 	101,093 ",329,Turner ES,3264 Stanton Rd SE,395,530,0,530,75%,256,," 	33,672,056 ",0.00%,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,N/A,N/A,N/A,Good,Good,Good,Good,No,,,,,,,,
41e069bd-cc84-48be-9154-15e682d5a552,DCPS,112,Tyler Elementary School," 	72,954 ",330,Tyler ES,1001 G St  SE,523,564,0,564,93%,139,," 	23,182,368 ",3.71%,Good,Good,Good,Good,Good,Good,Good,Good,Good,Fair,N/A,Good,N/A,N/A,N/A,Good,Good,Good,Good,No,,,,,,,,
b07b9120-dd02-4464-aaee-c23125a2d3d5,DCPS,113,Walker-Jones Education Campus," 	114,942 ",332,Walker-Jones EC,1125 New Jersey Ave NW,472,700,0,700,67%,244,," 	38,284,881 ",0.00%,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,N/A,N/A,N/A,Good,Good,Good,Good,No,,,,,,,,
50486cd2-c43c-4a2b-ae84-fc5eda2fc53a,DCPS,114,Washington Metropolitan High School," 	65,029 ",474,Washington Metro,300 Bryant Street NW,244,350,0,350,70%,267,," 	21,659,859 ",5.37%,Fair,Fair,Poor,Poor,Fair,Fair,Good,Poor,Good,Fair,N/A,Poor,N/A,N/A,N/A,Good,Good,Fair,Good,No,,,,,,,,
182fbaf5-8bb3-452c-be64-c01b5f3a0531,DCPS,115,Watkins Elementary School," 	62,970 ",333,Watkins,420 12th St  SE,500,587,0,587,85%,126,," 	20,974,048 ",6.03%,Fair,N/A,Poor,Poor,Fair,Fair,Good,Fair,Good,Fair,N/A,Good,N/A,N/A,N/A,Poor,Good,Fair,Fair,No,1.98%,0.73%,0.20%,0.47%,4.30%,2013,0.24%,0.0405284652829719
