,,,,,,,,,,,,,,,,,(DCPS ACR II) 2012 ACR A10: Foundations,(DCPS ACR II) 2012 ACR A20: Basement Construction,(DCPS ACR II) 2012 ACR B20: Exterior Enclosure,(DCPS ACR II) 2012 ACR B30: Roofing,(DCPS ACR II) 2012 ACR C10: Interior Construction,(DCPS ACR II) 2012 ACR C20: Stairs,(DCPS ACR II) 2012 ACR C30: Interior Finishes,(DCPS ACR II) 2012 ACR D10: Conveying Systems,(DCPS ACR II) 2012 ACR D20: Plumbing,(DCPS ACR II) 2012 ACR D30: HVAC,(DCPS ACR II) 2012 ACR D40: Fire Protection Systems,(DCPS ACR II) 2012 ACR D50: Electrical Systems,(DCPS ACR II) 2012 ACR F10: Special Construction,(DCPS ACR II) 2012 ACR F20: Selective Demolition,(DCPS ACR II) 2012 ACR G10: Site Preparation,(DCPS ACR II) 2012 ACR G20: Site Improvements,(DCPS ACR II) 2012 ACR G30: Site Civil/Mechanical Utilities,(DCPS ACR II) 2012 ACR G40: Site Electrical Utilities,(DCPS ACR II) 2012 ACR Z10: General Requirements,,,,,,,,,
,Agency,#,Name,GSF (building),Program #,School Name,School Address,"SY2014-15 Audited 
Enrollment ",SY2015-16 Permanent Capacity,SY2015-16 Portable Capacity,Total Capacity (Permanent + Portable),"SY2014-15
Utilization                  (Includes Portable Capacity)",2014-15 GSF per student,Plan to Address High/Low Utilization ,Current Replacement Value (CRV),2014 FCI (Incl Backlog),Foundations,Basement Construction, Exterior Enclosure, Roofing,Interior Construction,Stairs,Interior Finishes,Conveying Systems,Plumbing,HVAC,Fire Protection Systems,Electrical Systems,Special Construction,Selective Demolition,Site Preparation,Site Improvements,Site Civil/ Mechanical Utilities,Site Electrical Utilities,General Requirements,Has A Carbon Monoxide Monitors,(DCPS FCI) FCI Base Year +1,(DCPS FCI) FCI Base Year +2,(DCPS FCI) FCI Base Year +3,(DCPS FCI) FCI Base Year +4,(DCPS FCI) FCI Base Year +5,(DCPS FCI) Base Year for FCI,(DCPS FCI) FCI Base Year,
82d86da2-b4a1-4101-b5a1-5ef134f34a96,DCPS,11,Browne Education Campus," 	190,308 ",404,Browne EC,850 26th St  NE,353,804,0,804,44%,539,"Browne is a school that typically increases their enrollment after the October enrollment reporting date, in part due to the influx of homeless students.  DCPS feels it is important that the school is able to accommodate these students.  DCPS will consider options for partners to potentially utilize a portion of the building and will explore different academic program offerings to increase enrollment."," 	63,387,789 ",1.89%,Good,Good,Good,Poor,Good,Good,Good,Good,Good,Fair,N/A,Good,N/A,N/A,N/A,Good,Good,Fair,Good,No,0.95%,0.02%,0.29%,0.00%,2.40%,2013,0.00%,0.0093096405894749
db620ba8-302f-45fb-8bf9-245df9addb94,DCPS,12,Bruce-Monroe Elementary School @ Park View," 	138,336 ",296,Bruce-Monroe ES @ Park View,3560 Warder St  NW,467,609,0,609,77%,296,," 	46,076,955 ",0.03%,Good,Good,Good,Fair,Good,Good,Good,Good,Good,Good,Good,Good,N/A,N/A,N/A,Good,Good,Good,Good,No,,,,,,,,
6c9dc6c9-d838-42e5-8519-94b53d5ef388,DCPS,13,Burroughs Education Campus," 	64,088 ",220,Burroughs EC,1820 Monroe St  NE,297,450,0,450,66%,216,," 	21,346,431 ",0.19%,Good,Good,Good,Fair,Good,Good,Good,Good,Good,Good,Good,Fair,N/A,N/A,N/A,Fair,Good,Good,Good,No,,,,,,,,
8b4737fa-b959-4121-9f5e-4aac6475b132,DCPS,14,Burrville Elementary School," 	89,214 ",221,Burrville ES,801 Division Ave  NE,360,400,0,400,90%,248,," 	29,715,399 ",2.91%,Good,N/A,Poor,Fair,Good,Good,Good,Good,Fair,Good,Fair,Good,N/A,N/A,N/A,Poor,Good,Good,Good,No,,,,,,,,
61766dcb-9060-4836-845f-c354b4190204,DCPS,15,C.W. Harris Elementary School," 	48,500 ",247,C.W. Harris ES,301 53rd St  SE,291,438,0,438,66%,167,," 	16,154,380 ",4.65%,Good,N/A,Good,Fair,Good,Good,Poor,N/A,Fair,Good,N/A,Fair,N/A,N/A,N/A,Fair,Good,Poor,Good,No,3.19%,1.08%,0.01%,0.19%,0.81%,2013,0.00%,0.0146342823432407
093298f9-22c0-494d-98a4-67d379c0d3db,DCPS,16,Cleveland Elementary School," 	54,207 ",224,Cleveland ES,1825 8th St  NW,309,320,0,320,97%,175,DCPS will monitor enrollment to ensure a satisfactory learning environment is provided for students. ," 	18,055,268 ",0.00%,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,N/A,N/A,N/A,Good,Good,Good,Good,No,,,,,,,,
fefe541f-d9d1-489d-8bb8-6c447cc23b7f,DCPS,17,Columbia Heights Education Campus," 	340,260 ",442,Columbia Heights EC (CHEC),3101 16th St  NW,1385,1400,0,1400,99%,246,DCPS will monitor enrollment to ensure a satisfactory learning environment is provided for students. The high school portion of CHEC is a school of choice that can control their enrollment through acceptance rates. ," 	113,333,801 ",0.02%,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,N/A,N/A,N/A,Good,Good,Good,Good,No,,,,,,,,
30311ebe-ede5-47b2-8ff3-66faff2ef281,DCPS,18,Coolidge High School," 	316,763 ",455,Coolidge HS,6315 5th St  NW,395,1105,0,1105,36%,802,"DCPS is currently developing compelling academic offerings at the school, which may include Mass Media and other CTE pathways to increase interest in the school. "," 	105,507,420 ",3.17%,Good,Good,Fair,Poor,Poor,Poor,Fair,Poor,Fair,Poor,N/A,Good,N/A,N/A,N/A,Fair,Good,Poor,Poor,No,1.81%,0.82%,0.20%,0.04%,0.70%,2013,0.00%,0.0135148261559178
23e3aed5-fe87-49e9-8d69-a2f29f9a1c1a,DCPS,19,Davis Elementary School," 	71,100 ",,Davis ES,,,,,,,,Closed," 	23,681,988 ",0.00%,Good,Good,Good,Poor,Fair,Good,Fair,N/A,Fair,Poor,Good,Poor,N/A,N/A,N/A,Good,Fair,Fair,Good,No,,,,,,,,
4545c27b-1439-4446-8d27-ba9706dfb79c,DCPS,20,Deal Middle School," 	168,649 ",405,Deal MS,3815 Fort Dr  NW,1313,1370,200,1570,84%,128,Portable classrooms will remain on site.," 	56,173,609 ",0.00%,Good,N/A,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,N/A,N/A,N/A,Good,Good,Good,Good,No,,,,,,,,
e8eee298-a817-4ac3-b4e9-6fcf24a2e9ad,DCPS,21,Drew Elementary School," 	62,807 ",231,Drew ES,5600 Eads St  NE,201,362,0,362,56%,312,," 	20,919,756 ",3.53%,Good,N/A,Good,Poor,Good,Good,Good,Fair,Fair,Good,N/A,Fair,N/A,N/A,N/A,Fair,Good,Good,Good,No,,,,,,,,
99282c0d-0b8f-4e57-a1e4-7af84c2efeb0,DCPS,22,Dunbar High School (OLD)," 	365,228 ",467,Dunbar HS,101 N St. NW,653,1100,0,1100,59%,559,," 	121,650,142 ",0.00%,Good,Good,Good,Fair,Good,Good,Fair,Poor,Good,Fair,Good,Good,Good,N/A,N/A,Good,Good,Good,Good,No,,,,,,,,
4b0440e5-e458-4a31-994c-153f1ea0c8c5,DCPS,23,Eastern High School," 	310,721 ",457,Eastern HS,1700 East Capitol St NE,1027,1100,0,1100,93%,303,," 	103,494,951 ",0.03%,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,N/A,N/A,N/A,Good,Good,Good,Good,No,,,,,,,,
61afe903-7825-4b2e-9579-53ca4983625c,DCPS,24,Eaton Elementary School," 	57,991 ",232,Eaton ES,3301 Lowell St  NW,475,415,0,415,114%,122,DCPS will monitor out of boundary enrollment at the school to ensure a satisfactory learning environment is provided for students. DCPS will also evaluate enrollment patterns over the next few years to measure the impact of recent boundary changes.," 	19,315,642 ",0.05%,Good,N/A,Good,Fair,Good,Good,Good,Good,Good,Good,N/A,Good,N/A,N/A,N/A,Good,Good,Good,Good,No,0.05%,0.00%,1.05%,0.29%,0.90%,2013,2.23%,0
42adda38-b463-4263-a849-540c20f2d738,DCPS,25,Eliot-Hine Middle School," 	151,470 ",232,Eliot-Hine MS,1830 Constitution Ave  NE,257,742,0,742,35%,589,DCPS anticipates that demand for Middle School seats at Eliot-Hine will increase as excitement about the programming at Eastern High School continues to grow because Eliot-Hine feeds into Eastern.  Eastern High School is graduating their first class of students at the end of SY14-15.  DCPS will also monitor how upcoming boundary changes will impact enrollment at Eliot-Hine.," 	50,451,628 ",0.12%,Good,N/A,Fair,Good,Good,Good,Fair,Good,Fair,Fair,N/A,Fair,N/A,N/A,N/A,Fair,Good,Good,Good,No,0.12%,0.01%,2.55%,1.22%,0.11%,2013,0.05%,0
9568e193-9a2e-436e-a8ec-ff15c5ad0312,DCPS,26,Ellington School of the Arts," 	177,761 ",471,Ellington School of the Arts,2501 11th St NW,523,NA,NA,NA,NA,340,," 	59,208,634 ",2.01%,Good,Good,Fair,Good,Good,Good,Fair,Good,Good,Good,Good,Good,N/A,N/A,N/A,Good,Good,Good,Good,No,,,,,,,,
36b2004e-f123-4f61-a4fc-cf3583d84409,DCPS,27,Emery Elementary School," 	61,635 ",,Emery Elementary School,,,,,,,,," 	20,529,386 ",0.65%,Good,Good,Fair,Fair,Good,Good,Good,N/A,Fair,Fair,Good,Fair,N/A,N/A,N/A,Good,Good,Good,Good,No,,,,,,,,
1eb31853-cf15-40fc-b5fd-85970e79a2c3,DCPS,28,Ferebee-Hope Elementary School," 	180,945 ",,Ferebee-Hope Elementary School,,,,,,,,," 	60,269,161 ",5.13%,Good,Good,Fair,Fair,Good,Good,Fair,Fair,Fair,Good,Good,Good,N/A,N/A,N/A,Fair,Good,Good,Good,No,,,,,,,,
fd508d4b-ac1c-4578-a02b-ddb9cb47c4b7,DCPS,29,Fletcher-Johnson Elementary," 	190,065 ",,Fletcher-Johnson Elementary,,,,,,,,," 	100,566,000 ",0.05%,Good,N/A,Good,Good,Good,Good,Good,Poor,Good,Fair,Good,Good,Good,N/A,N/A,Fair,Good,Good,Good,No,,,,,,,,
2fdd1ce7-3ceb-4247-bd01-06950673bf74,DCPS,30,Francis-Stevens Education Campus," 	107,751 ",409,SWW @ Francis-Stevens,2425 N St  NW,415,437,0,437,95%,260,DCPS will monitor enrollment to ensure a satisfactory learning environment is provided for students. ," 	35,889,703 ",0.01%,Good,N/A,Good,Good,Good,Fair,Fair,Good,Good,Good,Good,Good,N/A,N/A,N/A,Good,Good,Fair,Good,No,0.01%,0.19%,0.67%,0.00%,0.25%,2013,0.00%,0
6218b33d-3446-4443-9bd3-a699526258f8,DCPS,31,Garfield Elementary School," 	68,201 ",238,Garfield ES,2435 Alabama Ave  SE,284,365,0,365,78%,240,," 	22,716,389 ",3.05%,Good,Good,Fair,Poor,Poor,Good,Fair,Poor,Fair,Good,N/A,Good,N/A,N/A,N/A,Good,Good,Good,Poor,No,0.42%,1.11%,0.00%,0.00%,0.34%,2013,0.00%,0.0263273735052613
ebfa2fca-fbf3-4140-874a-219f209531b4,DCPS,32,Garrison Elementary School," 	62,160 ",239,Garrison ES,1200 S St  NW,245,356,0,356,69%,254,," 	20,051,416 ",5.26%,Good,Good,Fair,Fair,Good,Good,Fair,N/A,Fair,Poor,Good,Fair,N/A,N/A,N/A,Fair,Good,Good,Good,No,,,,,,,,
f21cd1a1-2f70-442a-afae-c5255b1bebc5,DCPS,33,Gibbs Elementary," 	59,900 ",,Gibbs Elementary,,,,,,,,," 	21,578,400 ",0.01%,Good,Good,Fair,Poor,Good,Good,Poor,N/A,Fair,Fair,Fair,Good,N/A,N/A,N/A,Good,Good,Good,Good,No,,,,,,,,
