School_ID,Agency,Address,maxOccupancy,Level,totalSQFT,MajorExp9815,TotalAllotandPlan1621,LifetimeBudget,FeederMS,Total_Enrolled,Limited_English,At_Risk,SPED,AtRiskPer,SPEDPer,ESLPer,SqFtPerEnroll,SpentPerMaxOccupancy,SpentPerSqFt,Open_Now,ProjectPhase,YrComplete,ProjectType,FeederHS,longitude,latitude,Ward,School
231,DCPS,5600 Eads St  NE,362,ES,72800,4898637,0,4938279,Kelly Miller MS,201,0,166,34,0.825870647,0.169154229,0,362,13532.14641,67.28896978,1,Phase I,2010,Partial Modernization,Woodson HS,-76.9198214,38.8961276,7,Drew Elementary
467,DCPS,101 N St. NW,1100,HS,260000,122897293,-250000,125144890,,653,6,483,198,0.739663093,0.303215926,0.009188361,398,111724.8118,472.6818962,1,Full,2013,Full Replacement,Dunbar HS,-77.013134,38.9078377,5,Dunbar High
457,DCPS,1700 East Capitol St NE,1100,HS,310721,74502874,0,74503071,,1025,3,714,296,0.696585366,0.288780488,0.002926829,303,67729.88545,239.7741833,1,Full,2010,Full Modernization,Eastern HS,-76.9795263,38.8903247,6,Eastern High
232,DCPS,3301 Lowell St  NW,415,ES,49096,81414,15552000,15633414,Hardy MS,475,43,26,35,0.054736842,0.073684211,0.090526316,191,196.1783133,1.658261365,1,Phase 0,NA,Stabilized,Wilson HS,-77.0657958,38.9328813,3,Eaton Elementary
407,DCPS,1830 Constitution Ave  NE,742,MS,155072,210957,40911043,42653975,,257,2,161,63,0.626459144,0.245136187,0.007782101,603,284.3086253,1.360380984,1,Phase 0,NA,Stabilized,Eastern HS,-76.978566,38.892612,6,Eliot-Hine Middle
471,DCPS,3500 R St NW,500,HS,258072,34081441,61688778,180437856,,523,5,175,25,0.334608031,0.047801147,0.009560229,320,68162.882,132.0617541,1,Full,2017,Full Modernization,City-Wide,-77.0704265,38.9131435,2,Ellington School of the Arts
238,DCPS,2435 Alabama Ave  SE,365,ES,58904,1082203,12583908,14338493,Johnson MS,284,0,233,35,0.820422535,0.123239437,0,207,2964.939726,18.37231767,1,Phase 0,NA,Stabilized,Ballou HS,-76.9702748,38.8517226,8,Garfield Elementary
NA,DCPS,2001 10th St NW,NA,MS,82700,5560714,0,5560714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.23958888,0,NA,NA,Stabilized,NA,-77.0251664,38.9176846,1,Garnett Patterson
239,DCPS,1200 S St  NW,356,ES,60200,655646,20000000,24000000,Cardozo EC (6-8),244,35,117,40,0.479508197,0.163934426,0.143442623,247,1841.702247,10.89112957,1,Phase 0,NA,Stabilized,Cardozo HS (9-12),-77.028449,38.9138357,2,Garrison Elementary
227,DCPS,2525 17th St NW,440,ES,85696,32500688,0,32500688,CHEC (6-8),400,164,215,42,0.5375,0.105,0.41,214,73865.2,379.2556012,1,Full,2009,Full Modernization,Cardozo HS (9-12),-77.0383975,38.9239587,1,H.D. Cooke Elementary
