Agency,School,SCHOOLCODE,Address,maxOccupancy,Enroll.Cap,ProjectPhase,YrComplete,Level,totalSQFT,ProjectType,MajorExp9815,TotalAllotandPlan1621,LifetimeBudget,LON,LAT,WARD,FeederMS,FeederMSNum,FeederHS,FeederHSNum,Total.Enrolled,Limited.English.Proficient,At_Risk,SPED,AtRiskPer,SPEDPer,ESLPer,SqFtPerEnroll,SpentPerEnroll,SpentPerSqFt,MajorExp9815,TotalAllotandPlan1621,LifetimeBudget
DCPS,J.O. Wilson Elementary School,339,660 K Street NE,480,480,Phase I,2010,ES,98896,PARTIAL MOD,4264356,0,4264356,-76.99658902,38.90275767,6,Stuart-Hobson MS,11,Eastern HS,5,466,6,232,47,0.497854077,0.100858369,0.012875536,212.223176,9150.978541,43.11960039,4264356,0,4264356
DCPS,Janney Elementary School,254,4130 Albemarle St  NW,700,700,Full,2011,ES,96083,FULL MOD + ADD,37443325,0,37949758,-77.08099483,38.94755009,3,Deal MS,2,Wilson HS,2,693,30,8,38,0.011544012,0.054834055,0.043290043,138.6479076,54030.77201,389.6977093,37443325,0,37949758
DCPS,Ketcham Elementary School,257,1919 15th St  SE,325,325,Phase I,2012,ES,88288,PARTIAL MOD,8328691,0,8336451,-76.98362116,38.86604236,8,Kramer MS,12,Anacostia HS,4,309,0,265,37,0.857605178,0.1197411,0,285.7216828,26953.69256,94.33548161,8328691,0,8336451
DCPS,Key Elementary School,272,5001 Dana Pl  NW,364,408,Full,2003,ES,50000,FULL MOD + ADD,13007488,0,13007488,-77.10052732,38.9268015,3,Hardy MS,8,Wilson HS,2,383,28,12,27,0.031331593,0.070496084,0.07310705,130.5483029,33962.10966,260.14976,13007488,0,13007488
DCPS,Kimball Elementary School,259,3375 Minnesota Ave  SE,398,398,Phase 0,NA,ES,83392,STABILIZED,0,17696000,17696000,-76.95757271,38.88308276,7,Sousa MS,4,Anacostia HS,4,348,0,268,48,0.770114943,0.137931034,0,239.6321839,0,0,0,17696000,17696000
DCPS,Lafayette Elementary School,261,5701 Broad Branch Rd  NW,516,736,Full,2015,ES,113600,FULL MOD + ADD,9939007,59373105,78650000,-77.06803712,38.96662722,4,Deal MS,2,Wilson HS,2,697,21,19,47,0.027259684,0.067431851,0.030129125,162.9842181,14259.6944,87.4912588,9939007,59373105,78650000
DCPS,Langdon Education Campus,262,1900 Evarts St  NE,500,500,Phase I,2015,ES,101392,PARTIAL MOD,19828246,0,20824380,-76.97708186,38.92470383,5,McKinley MS,13,Dunbar HS,6,340,17,191,56,0.561764706,0.164705882,0.05,298.2117647,58318.37059,195.5602612,19828246,0,20824380
DCPS,Langley Education Campus,370,101 T Street NE,530,530,Phase II,2011,ES,1.00E+05,PARTIAL MOD,10253618,0,10273670,-77.00589039,38.91516256,5,McKinley MS,13,Dunbar HS,6,289,7,186,28,0.643598616,0.096885813,0.024221453,346.0207612,35479.64706,102.53618,10253618,0,10273670
DCPS,Leckie Elementary School,266,4201 M L  King Ave  SW,480,480,Phase I,2012,ES,65000,PARTIAL MOD,595860,0,595860,-77.01289191,38.82819645,8,Hart MS,10,Ballou HS,8,478,8,226,53,0.472803347,0.110878661,0.016736402,135.9832636,1246.569038,9.167076923,595860,0,595860
DCPS,Ludlow-Taylor Elementary School,271,659 G St  NE,362,362,Phase I,2013,ES,66896,PARTIAL MOD,11489803,-1026290,11762825,-76.99649249,38.89874381,6,Stuart-Hobson MS,11,Eastern HS,5,340,3,109,31,0.320588235,0.091176471,0.008823529,196.7529412,33793.53824,171.7562037,11489803,-1026290,11762825
DCPS,Mann Elementary School,273,4430 Newark St NW,370,370,Full,2015,ES,60969,FULL MOD + ADD,34565362,-5.00E+05,37197238,-77.08782619,38.93429197,3,Hardy MS,8,Wilson HS,2,302,34,4,12,0.013245033,0.039735099,0.112582781,201.884106,114454.8411,566.9333924,34565362,-5.00E+05,37197238
DCPS,Marie Reed Elementary School,284,2201 18th St. NW,470,470,Phase 0,NA,ES,162688,STABILIZED,2970097,54503000,64904196,-77.04052995,38.91916731,1,Col Hts. Ed. Campus (6-8),14,Cardozo EC (9-12),7,393,189,143,41,0.363867684,0.1043257,0.480916031,413.9643766,7557.498728,18.25639875,2970097,54503000,64904196
DCPS,Maury Elementary School,274,1250 Constitution Ave NE,300,388,Phase I,2011,ES,46800,PARTIAL MOD,6444395,5044000,12620745,-76.9886575,38.89218486,6,Eliot-Hine MS,15,Eastern HS,5,366,2,48,23,0.131147541,0.06284153,0.005464481,127.8688525,17607.63661,137.7007479,6444395,5044000,12620745
DCPS,Moten Elementary School,285,1565 Morris Rd SE,480,480,Full,2012,ES,99696,FULL MOD,27716993,0,27856881,-76.98294365,38.85665719,8,Kramer MS,12,Anacostia HS,4,395,0,348,65,0.881012658,0.164556962,0,252.3949367,70169.60253,278.0150959,27716993,0,27856881
DCPS,Murch Elementary School,287,4810 36th St  NW,488,774,Phase 0,NA,ES,47696,STABILIZED,748083,63156000,68294774,-77.07007921,38.95293319,3,Deal MS,2,Wilson HS,2,620,56,18,23,0.029032258,0.037096774,0.090322581,76.92903226,1206.585484,15.68439701,748083,63156000,68294774
DCPS,Nalle Elementary School,288,219 50th St  SE,400,400,Phase I,2012,ES,83900,PARTIAL MOD,11521407,0,11570572,-76.93079651,38.88595408,7,Kelly Miller MS,1,Woodson HS,1,384,6,295,45,0.768229167,0.1171875,0.015625,218.4895833,30003.66406,137.323087,11521407,0,11570572
DCPS,Noyes Education Campus,290,2725 10th St  NE,391,391,Full,2004,ES,51496,FULL MOD + ADD,24719301,0,24719301,-76.99184288,38.92517765,5,Brookland MS,6,Dunbar HS,6,289,11,182,44,0.629757785,0.152249135,0.038062284,178.1868512,85533.91349,480.0237106,24719301,0,24719301
DCPS,Old Miner,280,601 15th St  NE,550,550,Full,2003,ES,76896,FULL REPLACEMENT,6391359,0,6391359,-76.98290432,38.89737568,6,Eliot-Hine MS,15,Eastern HS,5,398,7,296,66,0.743718593,0.165829146,0.01758794,193.2060302,16058.69095,83.11692416,6391359,0,6391359
DCPS,Orr Elementary School,291,2200 Minnesota Ave  SE,392,392,Phase 0,NA,ES,75900,STABILIZED,0,41995000,44995000,-76.97448402,38.87179682,8,Kramer MS,12,Anacostia HS,4,384,2,295,54,0.768229167,0.140625,0.005208333,197.65625,0,0,0,41995000,44995000
DCPS,Patterson Elementary School,294,4399 South Capitol Terr  SW,382,382,Full,2004,ES,76896,FULL REPLACEMENT,5365870,0,5365870,-77.00848471,38.82696603,8,Hart MS,10,Ballou HS,8,380,1,323,44,0.85,0.115789474,0.002631579,202.3578947,14120.71053,69.78087287,5365870,0,5365870
DCPS,Payne Elementary School,295,1445 C St SE,348,348,Full,2016,ES,83792,FULL MOD,22389213,27450,27815086,-76.98419491,38.88513231,6,Eliot-Hine MS,15,Eastern HS,5,277,5,165,30,0.59566787,0.108303249,0.018050542,302.4981949,80827.48375,267.1998878,22389213,27450,27815086
DCPS,Peabody Elementary School,301,425 C St  NE,228,228,Phase I,2013,ES,37800,PARTIAL MOD,7028816,0,7099258,-76.99985799,38.89289599,6,Stuart-Hobson MS,11,Eastern HS,5,227,4,16,10,0.070484581,0.044052863,0.017621145,166.5198238,30963.94714,185.9475132,7028816,0,7099258
DCPS,Plummer Elementary School,299,4601 Texas Ave  SE,448,448,Phase I,2014,ES,69392,PARTIAL MOD,13846933,26191,14299544,-76.93993468,38.88723986,7,Sousa MS,4,Anacostia HS,4,428,24,354,54,0.827102804,0.126168224,0.056074766,162.1308411,32352.6472,199.5465327,13846933,26191,14299544
